#FILE:                       ,Char_GB_reground_1_11_10.dsu  
#FORMAT:                     ,NETZSCH5                      
#IDENTITY:                   ,Char GB reground_1_11_10      
#DECIMAL:                    ,POINT                         
#SEPARATOR:                  ,COMMA                         
#MTYPE:                      ,DTA                           
#MSUBTYPE:                   ,                              
#INSTRUMENT:                 ,NETZSCH STA 449 C             
#PROJECT:                    ,Torrefaction                  
#DATE/TIME:                  ,01/11/2010 09:30:00           
#CORR. FILE:                 ,buoyancy_drying_13_10_10.bsu  
#LABORATORY:                 ,Sustainable Research Energ    
#OPERATOR:                   ,A Saddawi                     
#REMARK:                     ,                              
#SAMPLE:                     ,nonisoth oxid with init drying
#SAMPLE MASS /mg:            ,10.460                        
#MATERIAL:                   ,char                          
#REFERENCE:                  ,Alumina                       
#REFERENCE MASS /mg:         ,0.000                         
#TYPE OF CRUCIBLE:           ,DTA/TG crucible Al2O3         
#SAMPLE CRUCIBLE MASS /mg:   ,0.000                         
#REFERENCE CRUCIBLE MASS /mg:,0.000                         
#CORR. CODE:                 ,020                           
#EXO:                        ,-1                            
#RANGE:                      ,30.0....900.0/0.0....10.0K/min
#SEGMENT:                    ,S1-4/4                        

##Temp./øC,Time/min,DTA/(mW/mg),Mass/%,DTG/(%/min),Sensit./(æV/mW),Segment
 33.19700,0.0000e+000,     0.17803,100.00000,-5.3032e-013,8.9949e-002,1
 33.20100,1.0000e-002,     0.17271,100.00000,-1.7677e-013,8.9950e-002,1
 33.19800,2.0000e-002,     0.17138,100.00000,-4.6403e-013,8.9950e-002,1
 33.19800,3.0000e-002,     0.18068,100.00000,-1.5226e-013,8.9950e-002,1
 33.20200,4.0000e-002,     0.18201,100.00000, 2.3640e-005,8.9950e-002,1
 33.20700,5.0000e-002,     0.18467,100.00000, 3.9036e-004,8.9950e-002,1
 33.20200,6.0000e-002,     0.17802,100.00000, 1.6108e-003,8.9950e-002,1
 33.21200,7.0000e-002,     0.16871,100.00000, 4.3676e-003,8.9956e-002,1
 33.21000,8.0000e-002,     0.17138,100.00000, 9.0531e-003,8.9950e-002,1
 33.21000,9.0000e-002,     0.17404,100.00000, 1.4390e-002,8.9950e-002,1
 33.20800,    0.10000,     0.17537,100.00000, 1.7966e-002,8.9950e-002,1
 33.21700,    0.11000,     0.17535,100.00096, 1.7966e-002,8.9958e-002,1
 33.21500,    0.12000,     0.17137,100.00096, 1.4390e-002,8.9957e-002,1
 33.21500,    0.13000,     0.17270,100.00096, 9.0531e-003,8.9957e-002,1
 33.21400,    0.14000,     0.17137,100.00096, 4.3439e-003,8.9957e-002,1
 33.21700,    0.15000,     0.16871,100.00096, 1.2204e-003,8.9958e-002,1
 33.21500,    0.16000,     0.16871,100.00096,-1.2204e-003,8.9957e-002,1
 33.21200,    0.17000,     0.17004,100.00096,-4.3439e-003,8.9956e-002,1
 33.21000,    0.18000,     0.17138,100.00096,-9.0768e-003,8.9950e-002,1
 33.21500,    0.19000,     0.17270,100.00096,-1.4780e-002,8.9957e-002,1
 33.21100,    0.20000,     0.16872,100.00096,-1.9600e-002,8.9956e-002,1
 33.22000,    0.21000,     0.15675,100.00000,-2.2748e-002,8.9960e-002,1
