#FILE:                       ,char_GD_30_06_10.dsu            ,,,,
#FORMAT:                     ,NETZSCH5                        ,,,,
#IDENTITY:                   ,char GD                         ,,,,
#DECIMAL:                    ,POINT                           ,,,,
#SEPARATOR:                  ,COMMA                           ,,,,
#MTYPE:                      ,DTA                             ,,,,
#MSUBTYPE:                   ,                                ,,,,
#INSTRUMENT:                 ,NETZSCH STA 449 C               ,,,,
#PROJECT:                    ,Torrefaction                    ,,,,
#DATE/TIME:                  ,30/06/2010 09:32:44             ,,,,
#CORR. FILE:                 ,char_GF_23_06_10.bsu            ,,,,
#LABORATORY:                 ,Sustainable Research Energ      ,,,,
#OPERATOR:                   ,Xiaomian Baxter                 ,,,,
#REMARK:                     ,                                ,,,,
#SAMPLE:                     ,nonisoth oxid with init drying  ,,,,
#SAMPLE MASS /mg:            ,10.18,,,,
#MATERIAL:                   ,char                            ,,,,
#REFERENCE:                  ,Alumina                         ,,,,
#REFERENCE MASS /mg:         ,0,,,,
#TYPE OF CRUCIBLE:           ,DTA/TG crucible Al2O3           ,,,,
#SAMPLE CRUCIBLE MASS /mg:   ,0,,,,
#REFERENCE CRUCIBLE MASS /mg:,0,,,,
#CORR. CODE:                 ,20,,,,
#EXO:                        ,-1,,,,
#RANGE:                      ,30.0....900.0/-20.0....10.0K/min,,99.09156725,,
#SEGMENT:                    ,S1-5/5                          ,,99.08820897,,
,,,10.40468503,,
##Temp./øC,Time/min,DTA/(mW/mg),Mass/%,Sensit./(æV/mW),Segment
31.823,0.00E+00,0.14847,100,8.93E-02,1
31.818,1.00E-02,0.14435,100.00196,8.93E-02,1
31.82,2.00E-02,0.15672,100.00393,8.93E-02,1
31.818,3.00E-02,0.15672,100.00589,8.93E-02,1
31.817,4.00E-02,0.15535,100.00786,8.93E-02,1
31.821,5.00E-02,0.1471,100.00982,8.93E-02,1
31.823,6.00E-02,0.14022,100.01179,8.93E-02,1
31.817,7.00E-02,0.15398,100.01277,8.93E-02,1
31.823,8.00E-02,0.15535,100.01572,8.93E-02,1
31.82,9.00E-02,0.15122,100.0167,8.93E-02,1
31.82,0.1,0.14847,100.01866,8.93E-02,1
31.82,0.11,0.15122,100.01965,8.93E-02,1
31.818,0.12,0.14848,100.01965,8.93E-02,1
31.82,0.13,0.15535,100.02063,8.93E-02,1
31.823,0.14,0.15809,100.02259,8.93E-02,1
31.826,0.15,0.15534,100.02259,8.93E-02,1
31.814,0.16,0.15123,100.02456,8.93E-02,1
31.82,0.17,0.1526,100.02456,8.93E-02,1
31.821,0.18,0.1526,100.02554,8.93E-02,1
31.817,0.19,0.15123,100.02652,8.93E-02,1
31.814,0.2,0.1581,100.02849,8.93E-02,1
31.812,0.21,0.1526,100.02947,8.93E-02,1
31.82,0.22,0.1581,100.03045,8.93E-02,1
31.82,0.23,0.15947,100.03242,8.93E-02,1
31.82,0.24,0.15122,100.0334,8.93E-02,1
31.824,0.25,0.16084,100.03438,8.93E-02,1
31.82,0.26,0.15947,100.03536,8.93E-02,1
31.815,0.27,0.1581,100.03733,8.93E-02,1
31.817,0.28,0.15398,100.03831,8.93E-02,1
31.823,0.29,0.16084,100.03929,8.93E-02,1
31.818,0.3,0.15672,100.04028,8.93E-02,1
31.818,0.31,0.15947,100.04028,8.93E-02,1
31.82,0.32,0.15122,100.04126,8.93E-02,1
31.815,0.33,0.15535,100.04322,8.93E-02,1
31.815,0.34,0.15535,100.04322,8.93E-02,1
31.817,0.35,0.1526,100.0442,8.93E-02,1
31.821,0.36,0.15535,100.04519,8.93E-02,1
31.823,0.37,0.16084,100.04617,8.93E-02,1
31.823,0.38,0.16084,100.04715,8.93E-02,1
31.821,0.39,0.16085,100.04813,8.93E-02,1
31.82,0.4,0.1636,100.04912,8.93E-02,1
31.821,0.41,0.15947,100.0501,8.93E-02,1
31.821,0.42,0.15672,100.0501,8.93E-02,1
31.823,0.43,0.15809,100.05206,8.93E-02,1
31.824,0.44,0.16222,100.05305,8.93E-02,1
31.821,0.45,0.16634,100.05403,8.93E-02,1
31.823,0.46,0.16497,100.05403,8.93E-02,1
31.826,0.47,0.16497,100.05501,8.93E-02,1
31.82,0.48,0.16497,100.05599,8.93E-02,1
31.829,0.49,0.15534,100.05697,8.93E-02,1
31.824,0.5,0.1526,100.05697,8.93E-02,1
31.824,0.51,0.15672,100.05796,8.93E-02,1
31.83,0.52,0.15671,100.05894,8.93E-02,1
31.832,0.53,0.15259,100.05992,8.93E-02,1
31.835,0.54,0.15946,100.0609,8.93E-02,1
31.833,0.55,0.16221,100.0609,8.93E-02,1
31.835,0.56,0.15534,100.06189,8.93E-02,1
31.836,0.57,0.15671,100.06287,8.93E-02,1
31.835,0.58,0.15534,100.06385,8.93E-02,1
31.835,0.59,0.14709,100.06582,8.93E-02,1
31.847,0.6,0.15395,100.06582,8.93E-02,1
31.845,0.61,0.15395,100.06778,8.93E-02,1
31.839,0.62,0.14846,100.06778,8.93E-02,1
31.851,0.63,0.15395,100.06974,8.93E-02,1
31.848,0.64,0.1512,100.06974,8.93E-02,1
31.847,0.65,0.1512,100.07073,8.93E-02,1
31.858,0.66,0.15119,100.07171,8.93E-02,1
31.858,0.67,0.15119,100.07171,8.93E-02,1
31.863,0.68,0.14707,100.07171,8.93E-02,1
31.869,0.69,0.14156,100.07171,8.93E-02,1
31.879,0.7,0.14705,100.07171,8.93E-02,1
31.891,0.71,0.13743,100.07073,8.94E-02,1
31.89,0.72,0.13468,100.06974,8.93E-02,1
31.893,0.73,0.13742,100.06974,8.94E-02,1
31.901,0.74,0.14154,100.06876,8.94E-02,1
31.91,0.75,0.14154,100.06778,8.94E-02,1
31.916,0.76,0.13603,100.06778,8.94E-02,1
31.928,0.77,0.13465,100.06778,8.94E-02,1
31.931,0.78,0.12915,100.06778,8.94E-02,1
31.94,0.79,0.12365,100.06876,8.94E-02,1
31.95,0.8,0.12227,100.06974,8.94E-02,1
31.958,0.81,0.12227,100.07171,8.94E-02,1
31.97,0.82,0.12226,100.07269,8.94E-02,1
31.979,0.83,0.11539,100.07466,8.94E-02,1
31.986,0.84,0.1195,100.07564,8.94E-02,1
32.003,0.85,0.11675,100.07662,8.94E-02,1
32.034,0.86,0.1181,100.0776,8.94E-02,1
32.035,0.87,0.10574,100.07859,8.94E-02,1
32.05,0.88,0.10299,100.07859,8.94E-02,1
32.064,0.89,9.34E-02,100.07957,8.94E-02,1
32.089,0.9,0.10022,100.07957,8.94E-02,1
32.101,0.91,9.34E-02,100.07859,8.94E-02,1
32.112,0.92,9.33E-02,100.07859,8.95E-02,1
32.133,0.93,9.06E-02,100.07859,8.95E-02,1
32.142,0.94,8.92E-02,100.07859,8.95E-02,1
32.173,0.95,8.23E-02,100.0776,8.95E-02,1
32.188,0.96,8.64E-02,100.07859,8.95E-02,1
32.203,0.97,8.37E-02,100.07859,8.95E-02,1
32.221,0.98,7.82E-02,100.0776,8.95E-02,1
32.246,0.99,7.13E-02,100.0776,8.95E-02,1
32.271,1,6.86E-02,100.07859,8.95E-02,1
32.286,1.01,5.76E-02,100.0776,8.95E-02,1
32.308,1.02,6.03E-02,100.07859,8.95E-02,1
32.332,1.03,5.21E-02,100.07859,8.96E-02,1
32.369,1.04,4.66E-02,100.07859,8.96E-02,1
32.385,1.05,4.11E-02,100.0776,8.96E-02,1
32.418,1.06,3.97E-02,100.0776,8.96E-02,1
32.445,1.07,3.43E-02,100.07859,8.96E-02,1
32.474,1.08,2.47E-02,100.07859,8.96E-02,1
32.5,1.09,1.37E-02,100.0776,8.96E-02,1
32.525,1.1,1.23E-02,100.07859,8.96E-02,1
32.559,1.11,1.37E-02,100.07957,8.97E-02,1
32.587,1.12,1.10E-02,100.07859,8.97E-02,1
32.621,1.13,4.11E-03,100.07859,8.97E-02,1
32.655,1.14,-2.74E-03,100.07859,8.97E-02,1
32.684,1.15,-1.37E-02,100.07957,8.97E-02,1
32.728,1.16,-1.78E-02,100.07859,8.97E-02,1
32.764,1.17,-2.46E-02,100.07957,8.98E-02,1
32.805,1.18,-2.74E-02,100.07859,8.98E-02,1
32.839,1.19,-3.56E-02,100.07957,8.98E-02,1
32.885,1.2,-4.10E-02,100.07859,8.98E-02,1
32.912,1.21,-5.20E-02,100.07957,8.98E-02,1
32.957,1.22,-5.74E-02,100.07859,8.98E-02,1
32.992,1.23,-6.83E-02,100.07957,8.99E-02,1
33.033,1.24,-7.10E-02,100.07859,8.99E-02,1
33.082,1.25,-7.65E-02,100.07859,8.99E-02,1
33.113,1.26,-8.33E-02,100.07859,8.99E-02,1
33.165,1.27,-8.74E-02,100.07957,8.99E-02,1
33.214,1.28,-9.55E-02,100.07957,9.00E-02,1
33.255,1.29,-9.96E-02,100.07957,9.00E-02,1
33.303,1.3,-0.11052,100.07957,9.00E-02,1
33.339,1.31,-0.11322,100.07957,9.00E-02,1
33.399,1.32,-0.11864,100.07859,9.00E-02,1
33.439,1.33,-0.11862,100.07957,9.01E-02,1
33.492,1.34,-0.13358,100.07957,9.01E-02,1
33.546,1.35,-0.14581,100.07957,9.01E-02,1
33.594,1.36,-0.16212,100.07957,9.01E-02,1
33.647,1.37,-0.16752,100.07957,9.02E-02,1
33.697,1.38,-0.17701,100.08055,9.02E-02,1
