#FILE:                       ,char_GD_30_06_10.dsu            
#FORMAT:                     ,NETZSCH5                        
#IDENTITY:                   ,char GD                         
#DECIMAL:                    ,POINT                           
#SEPARATOR:                  ,COMMA                           
#MTYPE:                      ,DTA                             
#MSUBTYPE:                   ,                                
#INSTRUMENT:                 ,NETZSCH STA 449 C               
#PROJECT:                    ,Torrefaction                    
#DATE/TIME:                  ,30/06/2010 09:32:44             
#CORR. FILE:                 ,char_GF_23_06_10.bsu            
#LABORATORY:                 ,Sustainable Research Energ      
#OPERATOR:                   ,Xiaomian Baxter                 
#REMARK:                     ,                                
#SAMPLE:                     ,nonisoth oxid with init drying  
#SAMPLE MASS /mg:            ,10.180                          
#MATERIAL:                   ,char                            
#REFERENCE:                  ,Alumina                         
#REFERENCE MASS /mg:         ,0.000                           
#TYPE OF CRUCIBLE:           ,DTA/TG crucible Al2O3           
#SAMPLE CRUCIBLE MASS /mg:   ,0.000                           
#REFERENCE CRUCIBLE MASS /mg:,0.000                           
#CORR. CODE:                 ,020                             
#EXO:                        ,-1                              
#RANGE:                      ,30.0....900.0/-20.0....10.0K/min
#SEGMENT:                    ,S1-5/5                          

##Temp./øC,Time/min,DTA/(mW/mg),Mass/%,Sensit./(æV/mW),Segment
 31.82300,0.0000e+000,     0.14847,100.00000,8.9319e-002,1
 31.81800,1.0000e-002,     0.14435,100.00196,8.9316e-002,1
 31.82000,2.0000e-002,     0.15672,100.00393,8.9317e-002,1
 31.81800,3.0000e-002,     0.15672,100.00589,8.9316e-002,1
 31.81700,4.0000e-002,     0.15535,100.00786,8.9316e-002,1
 31.82100,5.0000e-002,     0.14710,100.00982,8.9318e-002,1
 31.82300,6.0000e-002,     0.14022,100.01179,8.9319e-002,1
 31.81700,7.0000e-002,     0.15398,100.01277,8.9316e-002,1
 31.82300,8.0000e-002,     0.15535,100.01572,8.9319e-002,1
 31.82000,9.0000e-002,     0.15122,100.01670,8.9317e-002,1
 31.82000,    0.10000,     0.14847,100.01866,8.9317e-002,1
 31.82000,    0.11000,     0.15122,100.01965,8.9317e-002,1
 31.81800,    0.12000,     0.14848,100.01965,8.9316e-002,1
 31.82000,    0.13000,     0.15535,100.02063,8.9317e-002,1
 31.82300,    0.14000,     0.15809,100.02259,8.9319e-002,1
 31.82600,    0.15000,     0.15534,100.02259,8.9320e-002,1
 31.81400,    0.16000,     0.15123,100.02456,8.9315e-002,1
 31.82000,    0.17000,     0.15260,100.02456,8.9317e-002,1
 31.82100,    0.18000,     0.15260,100.02554,8.9318e-002,1
 31.81700,    0.19000,     0.15123,100.02652,8.9316e-002,1
 31.81400,    0.20000,     0.15810,100.02849,8.9315e-002,1
 31.81200,    0.21000,     0.15260,100.02947,8.9314e-002,1
 31.82000,    0.22000,     0.15810,100.03045,8.9317e-002,1
 31.82000,    0.23000,     0.15947,100.03242,8.9317e-002,1
 31.82000,    0.24000,     0.15122,100.03340,8.9317e-002,1
 31.82400,    0.25000,     0.16084,100.03438,8.9319e-002,1
 31.82000,    0.26000,     0.15947,100.03536,8.9317e-002,1
 31.81500,    0.27000,     0.15810,100.03733,8.9315e-002,1
 31.81700,    0.28000,     0.15398,100.03831,8.9316e-002,1
 31.82300,    0.29000,     0.16084,100.03929,8.9319e-002,1
 31.81800,    0.30000,     0.15672,100.04028,8.9316e-002,1
 31.81800,    0.31000,     0.15947,100.04028,8.9316e-002,1
 31.82000,    0.32000,     0.15122,100.04126,8.9317e-002,1
 31.81500,    0.33000,     0.15535,100.04322,8.9315e-002,1
 31.81500,    0.34000,     0.15535,100.04322,8.9315e-002,1
 31.81700,    0.35000,     0.15260,100.04420,8.9316e-002,1
 31.82100,    0.36000,     0.15535,100.04519,8.9318e-002,1
 31.82300,    0.37000,     0.16084,100.04617,8.9319e-002,1
 31.82300,    0.38000,     0.16084,100.04715,8.9319e-002,1
 31.82100,    0.39000,     0.16085,100.04813,8.9318e-002,1
 31.82000,    0.40000,     0.16360,100.04912,8.9317e-002,1
 31.82100,    0.41000,     0.15947,100.05010,8.9318e-002,1
 31.82100,    0.42000,     0.15672,100.05010,8.9318e-002,1
 31.82300,    0.43000,     0.15809,100.05206,8.9319e-002,1
 31.82400,    0.44000,     0.16222,100.05305,8.9319e-002,1
 31.82100,    0.45000,     0.16634,100.05403,8.9318e-002,1
 31.82300,    0.46000,     0.16497,100.05403,8.9319e-002,1
 31.82600,    0.47000,     0.16497,100.05501,8.9320e-002,1
 31.82000,    0.48000,     0.16497,100.05599,8.9317e-002,1
 31.82900,    0.49000,     0.15534,100.05697,8.9321e-002,1
 31.82400,    0.50000,     0.15260,100.05697,8.9319e-002,1
 31.82400,    0.51000,     0.15672,100.05796,8.9319e-002,1
 31.83000,    0.52000,     0.15671,100.05894,8.9322e-002,1
 31.83200,    0.53000,     0.15259,100.05992,8.9323e-002,1
 31.83500,    0.54000,     0.15946,100.06090,8.9324e-002,1
 31.83300,    0.55000,     0.16221,100.06090,8.9323e-002,1
 31.83500,    0.56000,     0.15534,100.06189,8.9324e-002,1
 31.83600,    0.57000,     0.15671,100.06287,8.9325e-002,1
 31.83500,    0.58000,     0.15534,100.06385,8.9324e-002,1
 31.83500,    0.59000,     0.14709,100.06582,8.9324e-002,1
 31.84700,    0.60000,     0.15395,100.06582,8.9330e-002,1
 31.84500,    0.61000,     0.15395,100.06778,8.9329e-002,1
 31.83900,    0.62000,     0.14846,100.06778,8.9326e-002,1
 31.85100,    0.63000,     0.15395,100.06974,8.9332e-002,1
 31.84800,    0.64000,     0.15120,100.06974,8.9330e-002,1
 31.84700,    0.65000,     0.15120,100.07073,8.9330e-002,1
 31.85800,    0.66000,     0.15119,100.07171,8.9335e-002,1
 31.85800,    0.67000,     0.15119,100.07171,8.9335e-002,1
 31.86300,    0.68000,     0.14707,100.07171,8.9337e-002,1
 31.86900,    0.69000,     0.14156,100.07171,8.9340e-002,1
 31.87900,    0.70000,     0.14705,100.07171,8.9344e-002,1
 31.89100,    0.71000,     0.13743,100.07073,8.9350e-002,1
 31.89000,    0.72000,     0.13468,100.06974,8.9349e-002,1
 31.89300,    0.73000,     0.13742,100.06974,8.9351e-002,1
 31.90100,    0.74000,     0.14154,100.06876,8.9354e-002,1
 31.91000,    0.75000,     0.14154,100.06778,8.9354e-002,1
 31.91600,    0.76000,     0.13603,100.06778,8.9361e-002,1
 31.92800,    0.77000,     0.13465,100.06778,8.9367e-002,1
 31.93100,    0.78000,     0.12915,100.06778,8.9368e-002,1
 31.94000,    0.79000,     0.12365,100.06876,8.9372e-002,1
 31.95000,    0.80000,     0.12227,100.06974,8.9377e-002,1
 31.95800,    0.81000,     0.12227,100.07171,8.9381e-002,1
 31.97000,    0.82000,     0.12226,100.07269,8.9386e-002,1
 31.97900,    0.83000,     0.11539,100.07466,8.9390e-002,1
 31.98600,    0.84000,     0.11950,100.07564,8.9393e-002,1
 32.00300,    0.85000,     0.11675,100.07662,8.9400e-002,1
 32.03400,    0.86000,     0.11810,100.07760,8.9415e-002,1
 32.03500,    0.87000,     0.10574,100.07859,8.9416e-002,1
 32.05000,    0.88000,     0.10299,100.07859,8.9423e-002,1
 32.06400,    0.89000, 9.3367e-002,100.07957,8.9429e-002,1
 32.08900,    0.90000,     0.10022,100.07957,8.9441e-002,1
 32.10100,    0.91000, 9.3350e-002,100.07859,8.9446e-002,1
 32.11200,    0.92000, 9.3344e-002,100.07859,8.9451e-002,1
 32.13300,    0.93000, 9.0589e-002,100.07859,8.9461e-002,1
 32.14200,    0.94000, 8.9212e-002,100.07859,8.9465e-002,1
 32.17300,    0.95000, 8.2336e-002,100.07760,8.9479e-002,1
 32.18800,    0.96000, 8.6447e-002,100.07859,8.9486e-002,1
 32.20300,    0.97000, 8.3697e-002,100.07859,8.9491e-002,1
 32.22100,    0.98000, 7.8200e-002,100.07760,8.9501e-002,1
 32.24600,    0.99000, 7.1332e-002,100.07760,8.9513e-002,1
 32.27100,    1.00000, 6.8579e-002,100.07859,8.9524e-002,1
 32.28600,    1.01000, 5.7602e-002,100.07760,8.9531e-002,1
 32.30800,    1.02000, 6.0341e-002,100.07859,8.9537e-002,1
 32.33200,    1.03000, 5.2104e-002,100.07859,8.9552e-002,1
 32.36900,    1.04000, 4.6611e-002,100.07859,8.9569e-002,1
 32.38500,    1.05000, 4.1124e-002,100.07760,8.9576e-002,1
 32.41800,    1.06000, 3.9746e-002,100.07760,8.9591e-002,1
 32.44500,    1.07000, 3.4259e-002,100.07859,8.9604e-002,1
 32.47400,    1.08000, 2.4663e-002,100.07859,8.9617e-002,1
 32.50000,    1.09000, 1.3700e-002,100.07760,8.9629e-002,1
 32.52500,    1.10000, 1.2328e-002,100.07859,8.9640e-002,1
 32.55900,    1.11000, 1.3696e-002,100.07957,8.9656e-002,1
 32.58700,    1.12000, 1.0955e-002,100.07859,8.9669e-002,1
 32.62100,    1.13000, 4.1074e-003,100.07859,8.9685e-002,1
 32.65500,    1.14000,-2.7378e-003,100.07859,8.9700e-002,1
 32.68400,    1.15000,-1.3687e-002,100.07957,8.9713e-002,1
 32.72800,    1.16000,-1.7789e-002,100.07859,8.9734e-002,1
 32.76400,    1.17000,-2.4626e-002,100.07957,8.9750e-002,1
 32.80500,    1.18000,-2.7358e-002,100.07859,8.9767e-002,1
 32.83900,    1.19000,-3.5558e-002,100.07957,8.9785e-002,1
 32.88500,    1.20000,-4.1018e-002,100.07859,8.9806e-002,1
 32.91200,    1.21000,-5.1950e-002,100.07957,8.9818e-002,1
 32.95700,    1.22000,-5.7405e-002,100.07859,8.9839e-002,1
 32.99200,    1.23000,-6.8327e-002,100.07957,8.9855e-002,1
