#FILE:                       ,char_GF_24_06_10.dsu            ,,,,
#FORMAT:                     ,NETZSCH5                        ,,,,
#IDENTITY:                   ,char GF                         ,,,,
#DECIMAL:                    ,POINT                           ,,,,
#SEPARATOR:                  ,COMMA                           ,,,,
#MTYPE:                      ,DTA                             ,,,,
#MSUBTYPE:                   ,                                ,,,,
#INSTRUMENT:                 ,NETZSCH STA 449 C               ,,,,
#PROJECT:                    ,Torrefaction                    ,,,,
#DATE/TIME:                  ,24/06/2010 12:29:14             ,,,,
#CORR. FILE:                 ,char_GF_23_06_10.bsu            ,,,,
#LABORATORY:                 ,Sustainable Research Energ      ,,,,
#OPERATOR:                   ,EMF                             ,,,,
#REMARK:                     ,                                ,,,,
#SAMPLE:                     ,nonisoth oxid with init drying  ,,,,
#SAMPLE MASS /mg:            ,10.5,,,,
#MATERIAL:                   ,Alumina                         ,,,,
#REFERENCE:                  ,Alumina                         ,,,,
#REFERENCE MASS /mg:         ,0,,,,
#TYPE OF CRUCIBLE:           ,DTA/TG crucible Al2O3           ,,,,
#SAMPLE CRUCIBLE MASS /mg:   ,0,,,,
#REFERENCE CRUCIBLE MASS /mg:,0,,,,
#CORR. CODE:                 ,20,,,,
#EXO:                        ,-1,,,,
#RANGE:                      ,30.0....900.0/-20.0....10.0K/min,,,,
#SEGMENT:                    ,S1-5/5                          ,,99.05907591,,
,,,19.49182099,,
##Temp./øC,Time/min,DTA/(mW/mg),Mass/%,Sensit./(æV/mW),Segment
35.748,0.00E+00,4.31E-02,100,9.11E-02,1
35.745,1.00E-02,4.70E-02,99.99905,9.11E-02,1
35.743,2.00E-02,4.70E-02,99.99905,9.11E-02,1
35.74,3.00E-02,3.92E-02,99.9981,9.11E-02,1
35.733,4.00E-02,4.18E-02,99.9981,9.11E-02,1
35.735,5.00E-02,4.05E-02,99.9981,9.11E-02,1
35.738,6.00E-02,4.18E-02,99.99714,9.11E-02,1
35.738,7.00E-02,4.57E-02,99.99714,9.11E-02,1
35.743,8.00E-02,4.57E-02,99.99714,9.11E-02,1
35.739,9.00E-02,4.96E-02,99.99714,9.11E-02,1
35.739,0.1,4.05E-02,99.99714,9.11E-02,1
35.736,0.11,4.44E-02,99.99714,9.11E-02,1
35.736,0.12,4.83E-02,99.99619,9.11E-02,1
35.729,0.13,4.96E-02,99.99619,9.11E-02,1
35.732,0.14,4.44E-02,99.99619,9.11E-02,1
35.73,0.15,4.57E-02,99.99524,9.11E-02,1
35.738,0.16,4.31E-02,99.99524,9.11E-02,1
35.735,0.17,4.18E-02,99.99429,9.11E-02,1
35.726,0.18,4.05E-02,99.99429,9.11E-02,1
35.721,0.19,3.92E-02,99.99333,9.11E-02,1
35.716,0.2,4.05E-02,99.99238,9.11E-02,1
