#FILE:                       ,Char_GF_reground_25_10_10.dsu 
#FORMAT:                     ,NETZSCH5                      
#IDENTITY:                   ,Char GF reground_25_10_10     
#DECIMAL:                    ,POINT                         
#SEPARATOR:                  ,COMMA                         
#MTYPE:                      ,DTA                           
#MSUBTYPE:                   ,                              
#INSTRUMENT:                 ,NETZSCH STA 449 C             
#PROJECT:                    ,Torrefaction                  
#DATE/TIME:                  ,25/10/2010 13:55:38           
#CORR. FILE:                 ,buoyancy_drying_13_10_10.bsu  
#LABORATORY:                 ,Sustainable Research Energ    
#OPERATOR:                   ,A Saddawi                     
#REMARK:                     ,                              
#SAMPLE:                     ,nonisoth oxid with init drying
#SAMPLE MASS /mg:            ,10.130                        
#MATERIAL:                   ,char                          
#REFERENCE:                  ,Alumina                       
#REFERENCE MASS /mg:         ,0.000                         
#TYPE OF CRUCIBLE:           ,DTA/TG crucible Al2O3         
#SAMPLE CRUCIBLE MASS /mg:   ,0.000                         
#REFERENCE CRUCIBLE MASS /mg:,0.000                         
#CORR. CODE:                 ,020                           
#EXO:                        ,-1                            
#RANGE:                      ,30.0....900.0/0.0....10.0K/min
#SEGMENT:                    ,S1-4/4                        

##Temp./øC,Time/min,DTA/(mW/mg),Mass/%,DTG/(%/min),Sensit./(æV/mW),Segment
 33.36000,0.0000e+000, 4.2492e-002,100.00000, 1.0606e-012,9.0024e-002,1
 33.36000,1.0000e-002, 4.6604e-002,100.00000, 7.0709e-013,9.0024e-002,1
 33.35000,2.0000e-002, 4.2494e-002,100.00000, 7.0709e-013,9.0019e-002,1
 33.35700,3.0000e-002, 5.0717e-002,100.00000, 4.5678e-013,9.0023e-002,1
 33.35700,4.0000e-002, 5.3458e-002,100.00000, 2.5380e-013,9.0023e-002,1
 33.35900,5.0000e-002, 5.7570e-002,100.00000, 1.0199e-013,9.0024e-002,1
 33.36200,6.0000e-002, 5.4827e-002,100.00000,-2.4410e-005,9.0025e-002,1
 33.35900,7.0000e-002, 4.6604e-002,100.00000,-4.2748e-004,9.0024e-002,1
 33.35900,8.0000e-002, 4.2492e-002,100.00000,-2.0908e-003,9.0024e-002,1
 33.36000,9.0000e-002, 4.3862e-002,100.00000,-6.5762e-003,9.0024e-002,1
 33.35900,    0.10000, 5.2087e-002,100.00000,-1.5546e-002,9.0024e-002,1
 33.35100,    0.11000, 5.2089e-002,100.00000,-2.9144e-002,9.0020e-002,1
 33.35400,    0.12000, 5.2088e-002,100.00000,-4.4824e-002,9.0021e-002,1
 33.35700,    0.13000, 4.9346e-002, 99.99901,-5.8158e-002,9.0023e-002,1
 33.36000,    0.14000, 4.9345e-002, 99.99803,-6.6246e-002,9.0024e-002,1
 33.36600,    0.15000, 5.0714e-002, 99.99704,-6.9055e-002,9.0027e-002,1
 33.36000,    0.16000, 5.2087e-002, 99.99704,-6.8702e-002,9.0024e-002,1
 33.35700,    0.17000, 5.2087e-002, 99.99605,-6.8169e-002,9.0023e-002,1
 33.36300,    0.18000, 4.6603e-002, 99.99506,-6.9130e-002,9.0025e-002,1
 33.36000,    0.19000, 4.1121e-002, 99.99506,-7.1121e-002,9.0024e-002,1
 33.36000,    0.20000, 4.9345e-002, 99.99408,-7.2444e-002,9.0024e-002,1
 33.36500,    0.21000, 3.8379e-002, 99.99309,-7.2444e-002,9.0026e-002,1
 33.35900,    0.22000, 4.3863e-002, 99.99210,-7.1121e-002,9.0024e-002,1
 33.35400,    0.23000, 4.5234e-002, 99.99210,-6.9154e-002,9.0021e-002,1
 33.35600,    0.24000, 4.1122e-002, 99.99112,-6.8597e-002,9.0022e-002,1
 33.36000,    0.25000, 3.9750e-002, 99.99013,-7.0793e-002,9.0024e-002,1
 33.36000,    0.26000, 3.4267e-002, 99.99013,-7.5631e-002,9.0024e-002,1
 33.36000,    0.27000, 3.8380e-002, 99.98914,-8.1816e-002,9.0024e-002,1
 33.36000,    0.28000, 3.9750e-002, 99.98815,-8.7705e-002,9.0024e-002,1
 33.36200,    0.29000, 3.5638e-002, 99.98717,-9.1336e-002,9.0025e-002,1
 33.36600,    0.30000, 3.7008e-002, 99.98618,-9.2191e-002,9.0027e-002,1
 33.36000,    0.31000, 3.7009e-002, 99.98519,-9.2425e-002,9.0024e-002,1
 33.36500,    0.32000, 3.8379e-002, 99.98421,-9.3715e-002,9.0026e-002,1
 33.36300,    0.33000, 3.7008e-002, 99.98421,-9.5467e-002,9.0025e-002,1
 33.36300,    0.34000, 3.8379e-002, 99.98223,-9.5908e-002,9.0025e-002,1
 33.36500,    0.35000, 3.4267e-002, 99.98124,-9.4207e-002,9.0026e-002,1
 33.35900,    0.36000, 3.4268e-002, 99.98026,-9.0490e-002,9.0024e-002,1
 33.37300,    0.37000, 3.2895e-002, 99.98026,-8.6302e-002,9.0030e-002,1
 33.36700,    0.38000, 3.1525e-002, 99.97828,-8.3480e-002,9.0027e-002,1
 33.36000,    0.39000, 3.1526e-002, 99.97828,-8.1972e-002,9.0024e-002,1
 33.36200,    0.40000, 3.4267e-002, 99.97730,-8.1415e-002,9.0025e-002,1
 33.36500,    0.41000, 4.2491e-002, 99.97631,-8.3151e-002,9.0026e-002,1
 33.36200,    0.42000, 4.3862e-002, 99.97532,-8.9538e-002,9.0025e-002,1
 33.35900,    0.43000, 3.9750e-002, 99.97532,    -0.10062,9.0024e-002,1
 33.36600,    0.44000, 3.8378e-002, 99.97433,    -0.11334,9.0027e-002,1
 33.37300,    0.45000, 3.1524e-002, 99.97236,    -0.12416,9.0030e-002,1
 33.36900,    0.46000, 3.0154e-002, 99.97038,    -0.13005,9.0028e-002,1
 33.36700,    0.47000, 3.7008e-002, 99.97038,    -0.13002,9.0027e-002,1
 33.36700,    0.48000, 2.7413e-002, 99.96841,    -0.12603,9.0027e-002,1
