#FILE:                       ,char_LF_24_06_10.dsu            
#FORMAT:                     ,NETZSCH5                        
#IDENTITY:                   ,char LF                         
#DECIMAL:                    ,POINT                           
#SEPARATOR:                  ,COMMA                           
#MTYPE:                      ,DTA                             
#MSUBTYPE:                   ,                                
#INSTRUMENT:                 ,NETZSCH STA 449 C               
#PROJECT:                    ,Torrefaction                    
#DATE/TIME:                  ,24/06/2010 09:05:29             
#CORR. FILE:                 ,char_GF_23_06_10.bsu            
#LABORATORY:                 ,Sustainable Research Energ      
#OPERATOR:                   ,EMF                             
#REMARK:                     ,                                
#SAMPLE:                     ,nonisoth oxid with init drying  
#SAMPLE MASS /mg:            ,9.780                           
#MATERIAL:                   ,Alumina                         
#REFERENCE:                  ,Alumina                         
#REFERENCE MASS /mg:         ,0.000                           
#TYPE OF CRUCIBLE:           ,DTA/TG crucible Al2O3           
#SAMPLE CRUCIBLE MASS /mg:   ,0.000                           
#REFERENCE CRUCIBLE MASS /mg:,0.000                           
#CORR. CODE:                 ,020                             
#EXO:                        ,-1                              
#RANGE:                      ,30.0....900.0/-20.0....10.0K/min
#SEGMENT:                    ,S1-5/5                          

##Temp./øC,Time/min,DTA/(mW/mg),Mass/%,Sensit./(æV/mW),Segment
 33.73800,0.0000e+000, 5.3847e-002,100.00000,9.0198e-002,1
 33.73600,1.0000e-002, 5.5264e-002,100.00000,9.0197e-002,1
 33.74000,2.0000e-002, 5.5263e-002,100.00000,9.0199e-002,1
 33.73900,3.0000e-002, 5.5263e-002,100.00000,9.0198e-002,1
 33.74300,4.0000e-002, 5.9513e-002,100.00000,9.0200e-002,1
 33.73900,5.0000e-002, 5.9514e-002, 99.99898,9.0198e-002,1
 33.74200,6.0000e-002, 4.9595e-002, 99.99898,9.0200e-002,1
 33.74300,7.0000e-002, 6.2347e-002, 99.99898,9.0200e-002,1
 33.74200,8.0000e-002, 5.9514e-002, 99.99898,9.0200e-002,1
 33.74500,9.0000e-002, 6.3763e-002, 99.99796,9.0201e-002,1
 33.74300,    0.10000, 5.9513e-002, 99.99796,9.0200e-002,1
 33.73700,    0.11000, 5.8098e-002, 99.99796,9.0197e-002,1
 33.73700,    0.12000, 6.0932e-002, 99.99693,9.0197e-002,1
 33.75000,    0.13000, 6.0928e-002, 99.99693,9.0203e-002,1
 33.75200,    0.14000, 6.0927e-002, 99.99591,9.0204e-002,1
 33.73700,    0.15000, 5.5264e-002, 99.99489,9.0197e-002,1
 33.74900,    0.16000, 5.1010e-002, 99.99489,9.0203e-002,1
 33.74500,    0.17000, 5.5262e-002, 99.99387,9.0201e-002,1
 33.74600,    0.18000, 5.3844e-002, 99.99387,9.0202e-002,1
 33.75300,    0.19000, 5.3842e-002, 99.99284,9.0205e-002,1
 33.75300,    0.20000, 5.9510e-002, 99.99284,9.0205e-002,1
 33.76200,    0.21000, 5.2423e-002, 99.99284,9.0209e-002,1
 33.76200,    0.22000, 5.5257e-002, 99.99182,9.0209e-002,1
 33.76200,    0.23000, 6.0924e-002, 99.99182,9.0209e-002,1
