#FILE:                       ,char_LF_24_06_10again.dsu     
#FORMAT:                     ,NETZSCH5                      
#IDENTITY:                   ,char LF                       
#DECIMAL:                    ,POINT                         
#SEPARATOR:                  ,COMMA                         
#MTYPE:                      ,DTA                           
#MSUBTYPE:                   ,                              
#INSTRUMENT:                 ,NETZSCH STA 449 C             
#PROJECT:                    ,Torrefaction                  
#DATE/TIME:                  ,24/06/2010 16:20:36           
#CORR. FILE:                 ,char_GF_23_06_10.bsu          
#LABORATORY:                 ,Sustainable Research Energ    
#OPERATOR:                   ,EMF                           
#REMARK:                     ,                              
#SAMPLE:                     ,nonisoth oxid with init drying
#SAMPLE MASS /mg:            ,9.950                         
#MATERIAL:                   ,Alumina                       
#REFERENCE:                  ,Alumina                       
#REFERENCE MASS /mg:         ,0.000                         
#TYPE OF CRUCIBLE:           ,DTA/TG crucible Al2O3         
#SAMPLE CRUCIBLE MASS /mg:   ,0.000                         
#REFERENCE CRUCIBLE MASS /mg:,0.000                         
#CORR. CODE:                 ,020                           
#EXO:                        ,-1                            
#RANGE:                      ,30.0....900.0/0.0....10.0K/min
#SEGMENT:                    ,S1-4/4                        

##Temp./øC,Time/min,DTA/(mW/mg),Segment
 34.57100,0.0000e+000,-1.1095e-002,1
 34.57300,1.0000e-002,-9.7082e-003,1
 34.57800,2.0000e-002,-6.9343e-003,1
 34.58100,3.0000e-002,-1.2481e-002,1
 34.57800,4.0000e-002,-5.5474e-003,1
 34.57500,5.0000e-002,-6.9344e-003,1
 34.57500,6.0000e-002,-8.3212e-003,1
 34.58200,7.0000e-002,-5.5473e-003,1
 34.58100,8.0000e-002,-8.3210e-003,1
 34.57800,9.0000e-002,-4.1605e-003,1
 34.57000,    0.10000,-6.9346e-003,1
 34.57000,    0.11000,-4.1608e-003,1
 34.57200,    0.12000, 0.0000e+000,1
 34.57300,    0.13000, 2.7738e-003,1
 34.56400,    0.14000,-5.5478e-003,1
 34.56700,    0.15000,-4.1608e-003,1
 34.57200,    0.16000,-1.3869e-002,1
 34.57300,    0.17000,-1.3869e-002,1
 34.56700,    0.18000,-9.7085e-003,1
 34.57000,    0.19000,-8.3214e-003,1
 34.56300,    0.20000,-6.9348e-003,1
 34.56300,    0.21000,-8.3217e-003,1
 34.56600,    0.22000,-9.7085e-003,1
 34.56600,    0.23000,-6.9347e-003,1
 34.56300,    0.24000,-6.9348e-003,1
 34.55700,    0.25000, 0.0000e+000,1
 34.56600,    0.26000,-1.3870e-003,1
 34.56100,    0.27000,-5.5479e-003,1
 34.56900,    0.28000,-6.9345e-003,1
 34.56000,    0.29000,-6.9349e-003,1
 34.55600,    0.30000,-1.2483e-002,1
 34.55000,    0.31000,-4.1612e-003,1
 34.55100,    0.32000,-1.2483e-002,1
 34.55400,    0.33000,-1.3870e-002,1
 34.54800,    0.34000,-1.3871e-002,1
 34.54400,    0.35000,-1.8032e-002,1
 34.55600,    0.36000,-1.2483e-002,1
 34.55400,    0.37000,-9.7091e-003,1
 34.55300,    0.38000,-6.9352e-003,1
 34.56000,    0.39000,-1.3869e-003,1
 34.55800,    0.40000,-1.3870e-003,1
 34.55600,    0.41000,-4.1611e-003,1
 34.55600,    0.42000,-5.5480e-003,1
 34.55600,    0.43000,-1.1096e-002,1
 34.55600,    0.44000, 6.9351e-003,1
 34.55300,    0.45000, 0.0000e+000,1
 34.55300,    0.46000,-2.7741e-003,1
 34.55400,    0.47000,-4.1610e-003,1
 34.55400,    0.48000,-6.9351e-003,1
 34.55400,    0.49000,-8.3221e-003,1
 34.55100,    0.50000,-1.1096e-002,1
 34.55300,    0.51000,-4.1611e-003,1
 34.55000,    0.52000,-1.3871e-003,1
 34.54800,    0.53000, 0.0000e+000,1
 34.54400,    0.54000, 8.3225e-003,1
 34.54500,    0.55000, 5.5483e-003,1
 34.54800,    0.56000, 0.0000e+000,1
 34.55100,    0.57000, 2.7741e-003,1
 34.54800,    0.58000, 2.7741e-003,1
 34.54800,    0.59000,-2.7741e-003,1
 34.55000,    0.60000, 2.7741e-003,1
 34.54700,    0.61000, 4.1612e-003,1
 34.54700,    0.62000, 5.5483e-003,1
 34.55100,    0.63000, 2.7741e-003,1
 34.54400,    0.64000, 1.3871e-003,1
 34.55000,    0.65000, 4.1612e-003,1
 34.55300,    0.66000, 8.3222e-003,1
 34.55400,    0.67000, 1.3870e-002,1
 34.54700,    0.68000, 1.3871e-002,1
 34.54500,    0.69000, 1.2484e-002,1
 34.54200,    0.70000, 6.9356e-003,1
 34.54700,    0.71000, 0.0000e+000,1
 34.54700,    0.72000, 1.3870e-003,1
 34.54400,    0.73000, 5.5484e-003,1
 34.55100,    0.74000, 1.2483e-002,1
 34.54500,    0.75000, 1.5258e-002,1
 34.54400,    0.76000, 1.2484e-002,1
 34.54800,    0.77000, 9.7095e-003,1
 34.54400,    0.78000, 8.3225e-003,1
 34.54200,    0.79000, 8.3226e-003,1
 34.54700,    0.80000, 5.5483e-003,1
 34.55000,    0.81000, 6.9353e-003,1
 34.54700,    0.82000, 1.1097e-002,1
 34.55000,    0.83000, 8.3223e-003,1
 34.55000,    0.84000, 8.3223e-003,1
 34.55000,    0.85000, 0.0000e+000,1
 34.55100,    0.86000, 4.1612e-003,1
 34.55600,    0.87000, 0.0000e+000,1
 34.56300,    0.88000,-1.3870e-003,1
 34.55600,    0.89000,-4.1610e-003,1
 34.56400,    0.90000,-4.1609e-003,1
 34.56100,    0.91000,-8.3219e-003,1
 34.56400,    0.92000,-6.9348e-003,1
 34.56100,    0.93000,-8.3219e-003,1
 34.56400,    0.94000,-1.3870e-002,1
 34.56600,    0.95000,-1.2482e-002,1
 34.57200,    0.96000,-1.9417e-002,1
 34.57500,    0.97000,-2.2190e-002,1
 34.58200,    0.98000,-2.3576e-002,1
 34.57800,    0.99000,-2.7737e-002,1
 34.58800,    1.00000,-2.4962e-002,1
 34.59400,    1.01000,-3.4668e-002,1
 34.60000,    1.02000,-3.8828e-002,1
 34.60600,    1.03000,-4.5761e-002,1
 34.61800,    1.04000,-5.5463e-002,1
 34.63000,    1.05000,-5.6846e-002,1
 34.63200,    1.06000,-6.2391e-002,1
 34.64000,    1.07000,-6.5162e-002,1
 34.64400,    1.08000,-7.4865e-002,1
 34.65600,    1.09000,-8.7337e-002,1
 34.66000,    1.10000,-8.7335e-002,1
 34.67500,    1.11000,-9.0101e-002,1
