#FILE:                       ,Char_N2_reground_2_11_10.dsu    ,,,,,
#FORMAT:                     ,NETZSCH5                        ,,,,,
#IDENTITY:                   ,Char N2 reground_2_11_10        ,,,,,
#DECIMAL:                    ,POINT                           ,,,,,
#SEPARATOR:                  ,COMMA                           ,,,,,
#MTYPE:                      ,DTA                             ,,,,,
#MSUBTYPE:                   ,                                ,,,,,
#INSTRUMENT:                 ,NETZSCH STA 449 C               ,,,,,
#PROJECT:                    ,Torrefaction                    ,,,,,
#DATE/TIME:                  ,2/11/2010 9:33,,,,,
#CORR. FILE:                 ,buoyancy_drying_13_10_10.bsu    ,,,,,
#LABORATORY:                 ,Sustainable Research Energ      ,,,,,
#OPERATOR:                   ,A Saddawi                       ,,,,,
#REMARK:                     ,                                ,,,,,
#SAMPLE:                     ,nonisoth oxid with init drying  ,,,,,
#SAMPLE MASS /mg:            ,10.42,,,,,
#MATERIAL:                   ,char                            ,,,,,
#REFERENCE:                  ,Alumina                         ,,,,,
#REFERENCE MASS /mg:         ,0,,,,,
#TYPE OF CRUCIBLE:           ,DTA/TG crucible Al2O3           ,,,,,
#SAMPLE CRUCIBLE MASS /mg:   ,0,,,,,
#REFERENCE CRUCIBLE MASS /mg:,0,,,,,
#CORR. CODE:                 ,20,,,,,
#EXO:                        ,-1,,,,,
#RANGE:                      ,30.0....900.0/-20.0....10.0K/min,,,,,
#SEGMENT:                    ,S1-5/5                          ,,,,,
,,,,,,
##Temp./øC,Time/min,DTA/(mW/mg),Mass/%,DTG/(%/min),Sensit./(æV/mW),Segment
32.216,0.00E+00,5.63E-02,100,-0.13359,8.95E-02,1
32.216,1.00E-02,5.76E-02,99.99808,-0.15041,8.95E-02,1
32.216,2.00E-02,5.23E-02,99.99712,-0.16723,8.95E-02,1
32.213,3.00E-02,5.50E-02,99.9952,-0.18406,8.95E-02,1
32.215,4.00E-02,5.63E-02,99.99328,-0.198,8.95E-02,1
32.215,5.00E-02,6.30E-02,99.99136,-0.20215,8.95E-02,1
32.21,6.00E-02,5.90E-02,99.98848,-0.19736,8.95E-02,1
32.207,7.00E-02,5.36E-02,99.98656,-0.18552,8.95E-02,1
32.206,8.00E-02,5.09E-02,99.98464,-0.16906,8.95E-02,1
32.212,9.00E-02,4.96E-02,99.98369,-0.15235,8.95E-02,1
32.212,0.1,5.76E-02,99.98177,-0.13899,8.95E-02,1
32.213,0.11,5.76E-02,99.98081,-0.1289,8.95E-02,1
32.212,0.12,5.63E-02,99.97985,-0.12044,8.95E-02,1
32.206,0.13,5.76E-02,99.97793,-0.11345,8.95E-02,1
32.207,0.14,4.96E-02,99.97697,-0.10846,8.95E-02,1
32.212,0.15,4.56E-02,99.97697,-0.10545,8.95E-02,1
32.213,0.16,5.36E-02,99.97505,-0.10394,8.95E-02,1
32.213,0.17,5.36E-02,99.97409,-0.10255,8.95E-02,1
32.212,0.18,4.83E-02,99.97313,-9.94E-02,8.95E-02,1
32.206,0.19,4.69E-02,99.97217,-9.44E-02,8.95E-02,1
32.21,0.2,4.83E-02,99.97121,-8.81E-02,8.95E-02,1
32.207,0.21,3.75E-02,99.97025,-8.19E-02,8.95E-02,1
32.207,0.22,4.29E-02,99.96929,-7.79E-02,8.95E-02,1
32.209,0.23,4.83E-02,99.96929,-7.75E-02,8.95E-02,1
32.204,0.24,4.56E-02,99.96833,-7.99E-02,8.95E-02,1
32.204,0.25,4.16E-02,99.96737,-8.25E-02,8.95E-02,1
32.212,0.26,4.02E-02,99.96641,-8.21E-02,8.95E-02,1
32.212,0.27,4.02E-02,99.96545,-7.87E-02,8.95E-02,1
32.207,0.28,4.02E-02,99.96449,-7.52E-02,8.95E-02,1
32.209,0.29,4.02E-02,99.96449,-7.48E-02,8.95E-02,1
32.206,0.3,4.56E-02,99.96353,-8.06E-02,8.95E-02,1
32.201,0.31,4.56E-02,99.96257,-9.28E-02,8.95E-02,1
32.201,0.32,4.56E-02,99.96257,-0.10804,8.95E-02,1
32.206,0.33,4.16E-02,99.96065,-0.122,8.95E-02,1
32.204,0.34,4.02E-02,99.95873,-0.13288,8.95E-02,1
32.198,0.35,4.02E-02,99.95777,-0.14105,8.95E-02,1
32.198,0.36,3.62E-02,99.95681,-0.14834,8.95E-02,1
32.203,0.37,3.62E-02,99.95489,-0.15751,8.95E-02,1
32.201,0.38,3.62E-02,99.95298,-0.16908,8.95E-02,1
32.203,0.39,3.89E-02,99.95202,-0.18075,8.95E-02,1
32.2,0.4,3.62E-02,99.9501,-0.1895,8.95E-02,1
32.2,0.41,3.49E-02,99.94722,-0.19258,8.95E-02,1
32.201,0.42,3.35E-02,99.9453,-0.18993,8.95E-02,1
32.203,0.43,3.49E-02,99.94338,-0.18483,8.95E-02,1
32.201,0.44,3.62E-02,99.94242,-0.18009,8.95E-02,1
32.203,0.45,3.08E-02,99.9405,-0.17636,8.95E-02,1
32.2,0.46,2.95E-02,99.93762,-0.17348,8.95E-02,1
32.198,0.47,3.35E-02,99.93666,-0.17089,8.95E-02,1
