#FILE:                       ,char_NF_23_06_10.dsu            
#FORMAT:                     ,NETZSCH5                        
#IDENTITY:                   ,char NF                         
#DECIMAL:                    ,POINT                           
#SEPARATOR:                  ,COMMA                           
#MTYPE:                      ,DTA                             
#MSUBTYPE:                   ,                                
#INSTRUMENT:                 ,NETZSCH STA 449 C               
#PROJECT:                    ,Torrefaction                    
#DATE/TIME:                  ,23/06/2010 16:36:56             
#CORR. FILE:                 ,char_GF_23_06_10.bsu            
#LABORATORY:                 ,Sustainable Research Energ      
#OPERATOR:                   ,EMF                             
#REMARK:                     ,                                
#SAMPLE:                     ,nonisoth oxid with init drying  
#SAMPLE MASS /mg:            ,10.330                          
#MATERIAL:                   ,Alumina                         
#REFERENCE:                  ,Alumina                         
#REFERENCE MASS /mg:         ,0.000                           
#TYPE OF CRUCIBLE:           ,DTA/TG crucible Al2O3           
#SAMPLE CRUCIBLE MASS /mg:   ,0.000                           
#REFERENCE CRUCIBLE MASS /mg:,0.000                           
#CORR. CODE:                 ,020                             
#EXO:                        ,-1                              
#RANGE:                      ,30.0....900.0/-20.0....10.0K/min
#SEGMENT:                    ,S1-5/5                          

##Temp./øC,Time/min,DTA/(mW/mg),Segment
 34.34900,0.0000e+000, 4.8146e-002,1
 34.35200,1.0000e-002, 5.0820e-002,1
 34.35200,2.0000e-002, 5.2158e-002,1
 34.35200,3.0000e-002, 5.4832e-002,1
 34.35200,4.0000e-002, 5.3495e-002,1
 34.35700,5.0000e-002, 4.5470e-002,1
 34.35500,6.0000e-002, 4.9482e-002,1
 34.35500,7.0000e-002, 5.8844e-002,1
 34.35400,8.0000e-002, 5.7507e-002,1
 34.35200,9.0000e-002, 6.0182e-002,1
 34.35800,    0.10000, 4.9481e-002,1
 34.35200,    0.11000, 4.6808e-002,1
 34.35500,    0.12000, 5.3494e-002,1
 34.35700,    0.13000, 5.8843e-002,1
 34.35400,    0.14000, 5.7507e-002,1
 34.34900,    0.15000, 5.3496e-002,1
 34.35100,    0.16000, 4.6808e-002,1
 34.35100,    0.17000, 4.6808e-002,1
 34.35400,    0.18000, 4.5470e-002,1
 34.35800,    0.19000, 4.2795e-002,1
 34.35500,    0.20000, 5.3494e-002,1
 34.34900,    0.21000, 4.8146e-002,1
 34.34900,    0.22000, 5.2158e-002,1
 34.35100,    0.23000, 5.8845e-002,1
 34.35200,    0.24000, 5.3495e-002,1
 34.34800,    0.25000, 5.8846e-002,1
 34.34500,    0.26000, 5.7509e-002,1
 34.34800,    0.27000, 6.0183e-002,1
 34.35400,    0.28000, 5.4832e-002,1
 34.35500,    0.29000, 5.4832e-002,1
 34.35500,    0.30000, 5.2157e-002,1
 34.35200,    0.31000, 5.8844e-002,1
 34.35200,    0.32000, 4.8145e-002,1
 34.34800,    0.33000, 4.8146e-002,1
 34.35400,    0.34000, 5.0820e-002,1
 34.35100,    0.35000, 4.9483e-002,1
 34.35100,    0.36000, 5.0821e-002,1
 34.35200,    0.37000, 4.5471e-002,1
