#FILE:                       ,char_NF_24_06_10.dsu            ,,,,
#FORMAT:                     ,NETZSCH5                        ,,,,
#IDENTITY:                   ,char NF                         ,,,,
#DECIMAL:                    ,POINT                           ,,,,
#SEPARATOR:                  ,COMMA                           ,,,,
#MTYPE:                      ,DTA                             ,,,,
#MSUBTYPE:                   ,                                ,,,,
#INSTRUMENT:                 ,NETZSCH STA 449 C               ,,,,
#PROJECT:                    ,Torrefaction                    ,,,,
#DATE/TIME:                  ,24/06/2010 19:20:25             ,,,,
#CORR. FILE:                 ,char_GF_23_06_10.bsu            ,,,,
#LABORATORY:                 ,Sustainable Research Energ      ,,,,
#OPERATOR:                   ,EMF                             ,,,,
#REMARK:                     ,                                ,,,,
#SAMPLE:                     ,nonisoth oxid with init drying  ,,,,
#SAMPLE MASS /mg:            ,9.83,,,,
#MATERIAL:                   ,Alumina                         ,,,,
#REFERENCE:                  ,Alumina                         ,,,,
#REFERENCE MASS /mg:         ,0,,,,
#TYPE OF CRUCIBLE:           ,DTA/TG crucible Al2O3           ,,,,
#SAMPLE CRUCIBLE MASS /mg:   ,0,,,,
#REFERENCE CRUCIBLE MASS /mg:,0,,,,
#CORR. CODE:                 ,20,,,,
#EXO:                        ,-1,,,,
#RANGE:                      ,30.0....900.0/-20.0....10.0K/min,,99.39519369,,
#SEGMENT:                    ,S1-5/5                          ,,99.38100029,,
,,,11.11044998,,
##Temp./øC,Time/min,DTA/(mW/mg),Mass/%,Sensit./(æV/mW),Segment
36.917,0.00E+00,4.30E-02,100,9.17E-02,1
36.911,1.00E-02,3.88E-02,100,9.17E-02,1
36.911,2.00E-02,3.88E-02,100,9.17E-02,1
36.915,3.00E-02,3.47E-02,100.00102,9.17E-02,1
36.927,4.00E-02,3.88E-02,100.00102,9.17E-02,1
36.926,5.00E-02,4.30E-02,100.00102,9.17E-02,1
36.92,6.00E-02,4.16E-02,100.00102,9.17E-02,1
36.914,7.00E-02,4.72E-02,100.00102,9.17E-02,1
36.905,8.00E-02,4.30E-02,100.00102,9.17E-02,1
36.905,9.00E-02,4.72E-02,100.00102,9.17E-02,1
36.905,0.1,4.16E-02,100.00102,9.17E-02,1
36.904,0.11,4.30E-02,100,9.17E-02,1
36.907,0.12,5.13E-02,99.99898,9.17E-02,1
36.899,0.13,4.99E-02,99.99898,9.17E-02,1
36.899,0.14,4.58E-02,99.99797,9.17E-02,1
36.902,0.15,5.41E-02,99.99695,9.17E-02,1
36.899,0.16,4.16E-02,99.99695,9.17E-02,1
36.898,0.17,4.02E-02,99.99593,9.17E-02,1
36.896,0.18,4.16E-02,99.99593,9.17E-02,1
36.896,0.19,4.02E-02,99.99491,9.17E-02,1
36.891,0.2,4.72E-02,99.99491,9.17E-02,1
36.886,0.21,4.30E-02,99.99491,9.17E-02,1
36.891,0.22,4.99E-02,99.9939,9.17E-02,1
36.888,0.23,4.99E-02,99.9939,9.17E-02,1
36.891,0.24,4.58E-02,99.99288,9.17E-02,1
36.889,0.25,4.30E-02,99.99288,9.17E-02,1
36.883,0.26,4.16E-02,99.99288,9.17E-02,1
36.878,0.27,4.16E-02,99.99288,9.17E-02,1
36.879,0.28,4.30E-02,99.99288,9.17E-02,1
36.87,0.29,4.02E-02,99.99288,9.16E-02,1
36.87,0.3,4.02E-02,99.99288,9.16E-02,1
36.866,0.31,4.30E-02,99.99288,9.16E-02,1
36.867,0.32,4.58E-02,99.99288,9.16E-02,1
36.863,0.33,4.44E-02,99.9939,9.16E-02,1
36.86,0.34,4.72E-02,99.99491,9.16E-02,1
36.858,0.35,4.44E-02,99.99491,9.16E-02,1
36.86,0.36,4.72E-02,99.99593,9.16E-02,1
36.855,0.37,4.44E-02,99.99593,9.16E-02,1
36.854,0.38,4.86E-02,99.99797,9.16E-02,1
36.855,0.39,4.44E-02,99.99797,9.16E-02,1
36.849,0.4,5.13E-02,99.99797,9.16E-02,1
36.844,0.41,5.41E-02,99.99797,9.16E-02,1
36.854,0.42,4.72E-02,99.99797,9.16E-02,1
36.849,0.43,4.30E-02,99.99898,9.16E-02,1
36.844,0.44,5.00E-02,99.99797,9.16E-02,1
36.836,0.45,5.27E-02,99.99695,9.16E-02,1
36.838,0.46,4.86E-02,99.99695,9.16E-02,1
36.841,0.47,5.00E-02,99.99593,9.16E-02,1
36.839,0.48,4.86E-02,99.99593,9.16E-02,1
36.835,0.49,4.86E-02,99.99593,9.16E-02,1
36.838,0.5,4.72E-02,99.99593,9.16E-02,1
36.833,0.51,5.13E-02,99.99593,9.16E-02,1
36.836,0.52,5.13E-02,99.99593,9.16E-02,1
36.826,0.53,5.41E-02,99.99593,9.16E-02,1
36.83,0.54,5.97E-02,99.99593,9.16E-02,1
