#FILE:                       ,Char_NF_reground_2_11_10.dsu  ,,,,,,,,,,,
#FORMAT:                     ,NETZSCH5                      ,,,,,,,,,,,
#IDENTITY:                   ,Char NF                       ,,,,,,,,,,,
#DECIMAL:                    ,POINT                         ,,,,,,,,,,,
#SEPARATOR:                  ,COMMA                         ,,,,,,,,,,,
#MTYPE:                      ,DTA                           ,,,,,,,,,,,
#MSUBTYPE:                   ,                              ,,,,,,,,,,,
#INSTRUMENT:                 ,NETZSCH STA 449 C             ,,,,,,,,,,,
#PROJECT:                    ,Torrefaction                  ,,,,,,,,,,,
#DATE/TIME:                  ,02/11/2010 12:33,,,,,,,,,,,
#CORR. FILE:                 ,buoyancy_drying_13_10_10.bsu  ,,,,,,,,,,,
#LABORATORY:                 ,Sustainable Research Energ    ,,,,,,,,,,,
#OPERATOR:                   ,A Saddawi                     ,,,,,,,,,,,
#REMARK:                     ,                              ,,,,,,,,,,,
#SAMPLE:                     ,nonisoth oxid with init drying,,,,,,,,,,,
#SAMPLE MASS /mg:            ,9.98,,,,,,,,,,,
#MATERIAL:                   ,char                          ,,,,,,,,,,,
#REFERENCE:                  ,Alumina                       ,,,,,,,,,,,
#REFERENCE MASS /mg:         ,0,,,,,,,,,,,
#TYPE OF CRUCIBLE:           ,DTA/TG crucible Al2O3         ,,,,,,,,,,,
#SAMPLE CRUCIBLE MASS /mg:   ,0,,,,,,,,,,,
#REFERENCE CRUCIBLE MASS /mg:,0,,,,,,,,,,,
#CORR. CODE:                 ,20,,,,,,,,,,,
#EXO:                        ,-1,,,,,,,,,,,
#RANGE:                      ,30.0....900.0/0.0....10.0K/min,,,,,,,,,,,
#SEGMENT:                    ,S1-4/4                        ,,,,,,,,,,,
,,,,,,,,,,,,
##Temp./øC,Time/min,DTA/(mW/mg),Mass/%,DTG/(%/min),Sensit./(æV/mW),Segment,,,,,,
45.437,0.00E+00,-0.37442,100,-3.17E-02,9.57E-02,1,,,,,,
45.427,1.00E-02,-0.37968,100,-3.39E-02,9.57E-02,1,,,,,,
45.415,2.00E-02,-0.37577,99.999,-3.61E-02,9.57E-02,1,,,,,,
45.405,3.00E-02,-0.36794,99.999,-3.83E-02,9.57E-02,1,,,,,,
45.386,4.00E-02,-0.36797,99.999,-4.06E-02,9.56E-02,1,,,,,,
45.381,5.00E-02,-0.36012,99.998,-4.39E-02,9.56E-02,1,,,,,,
45.369,6.00E-02,-0.36407,99.998,-4.68E-02,9.56E-02,1,,,,,,
45.362,7.00E-02,-0.37587,99.99699,-4.84E-02,9.56E-02,1,,,,,,
45.352,8.00E-02,-0.37065,99.99699,-4.84E-02,9.56E-02,1,,,,,,
45.344,9.00E-02,-0.37591,99.99599,-4.72E-02,9.56E-02,1,,,,,,
45.34,0.1,-0.37067,99.99599,-4.52E-02,9.56E-02,1,,,,,,
45.322,0.11,-0.37202,99.99499,-4.41E-02,9.56E-02,1,,,,,,
45.313,0.12,-0.36679,99.99499,-4.50E-02,9.56E-02,1,,,,,,
45.305,0.13,-0.36813,99.99499,-4.68E-02,9.56E-02,1,,,,,,
45.293,0.14,-0.36814,99.99399,-4.76E-02,9.56E-02,1,,,,,,
45.288,0.15,-0.37077,99.99299,-4.68E-02,9.56E-02,1,,,,,,
45.28,0.16,-0.35768,99.99299,-4.50E-02,9.56E-02,1,,,,,,
45.274,0.17,-0.359,99.99299,-4.41E-02,9.56E-02,1,,,,,,
45.261,0.18,-0.37082,99.99198,-4.52E-02,9.56E-02,1,,,,,,
45.249,0.19,-0.36822,99.99198,-4.72E-02,9.56E-02,1,,,,,,
45.25,0.2,-0.3656,99.99098,-4.88E-02,9.56E-02,1,,,,,,
45.234,0.21,-0.3748,99.99098,-5.01E-02,9.56E-02,1,,,,,,
45.226,0.22,-0.37219,99.98998,-5.14E-02,9.56E-02,1,,,,,,
45.222,0.23,-0.36434,99.98998,-5.34E-02,9.56E-02,1,,,,,,
45.203,0.24,-0.367,99.98898,-5.67E-02,9.56E-02,1,,,,,,
45.199,0.25,-0.37224,99.98898,-6.07E-02,9.56E-02,1,,,,,,
45.187,0.26,-0.37096,99.98798,-6.46E-02,9.56E-02,1,,,,,,
45.177,0.27,-0.36966,99.98697,-6.85E-02,9.55E-02,1,,,,,,
45.169,0.28,-0.37099,99.98697,-7.18E-02,9.55E-02,1,,,,,,
45.165,0.29,-0.37755,99.98597,-7.39E-02,9.55E-02,1,,,,,,
45.156,0.3,-0.36577,99.98497,-7.48E-02,9.55E-02,1,,,,,,
45.141,0.31,-0.36711,99.98397,-7.47E-02,9.55E-02,1,,,,,,
45.131,0.32,-0.36581,99.98397,-7.34E-02,9.55E-02,1,,,,,,
45.122,0.33,-0.36845,99.98297,-7.06E-02,9.55E-02,1,,,,,,
45.117,0.34,-0.36977,99.98196,-6.57E-02,9.55E-02,1,,,,,,
45.109,0.35,-0.37112,99.98096,-6.00E-02,9.55E-02,1,,,,,,
45.096,0.36,-0.37244,99.98096,-5.58E-02,9.55E-02,1,,,,,,
45.092,0.37,-0.37375,99.98096,-5.43E-02,9.55E-02,1,,,,,,
45.086,0.38,-0.37245,99.97996,-5.43E-02,9.55E-02,1,,,,,,
45.073,0.39,-0.36854,99.97896,-5.33E-02,9.55E-02,1,,,,,,
45.068,0.4,-0.36855,99.97896,-5.09E-02,9.55E-02,1,,,,,,
45.056,0.41,-0.36726,99.97796,-5.04E-02,9.55E-02,1,,,,,,
45.045,0.42,-0.36466,99.97796,-5.55E-02,9.55E-02,1,,,,,,
45.035,0.43,-0.36992,99.97796,-6.66E-02,9.55E-02,1,,,,,,
45.019,0.44,-0.36733,99.97695,-7.95E-02,9.55E-02,1,,,,,,
45.016,0.45,-0.37127,99.97595,-8.94E-02,9.55E-02,1,,,,,,
45.006,0.46,-0.37524,99.97395,-9.35E-02,9.55E-02,1,,,,,,
45.001,0.47,-0.3713,99.97395,-9.26E-02,9.55E-02,1,,,,,,
44.988,0.48,-0.37395,99.97295,-8.92E-02,9.55E-02,1,,,,,,
44.982,0.49,-0.37527,99.97194,-8.41E-02,9.55E-02,1,,,,,,
44.977,0.5,-0.38184,99.97094,-7.76E-02,9.55E-02,1,,,,,,
44.961,0.51,-0.37531,99.96994,-7.02E-02,9.54E-02,1,,,,,,
44.952,0.52,-0.36483,99.96994,-6.42E-02,9.54E-02,1,,,,,,
44.941,0.53,-0.36747,99.96894,-6.13E-02,9.54E-02,1,,,,,,
44.934,0.54,-0.37011,99.96894,-6.07E-02,9.54E-02,1,,,,,,
44.926,0.55,-0.36881,99.96794,-6.05E-02,9.54E-02,1,,,,,,
44.916,0.56,-0.36227,99.96693,-5.90E-02,9.54E-02,1,,,,,,
44.904,0.57,-0.36624,99.96693,-5.63E-02,9.54E-02,1,,,,,,
44.902,0.58,-0.36755,99.96593,-5.30E-02,9.54E-02,1,,,,,,
44.882,0.59,-0.36758,99.96593,-5.05E-02,9.54E-02,1,,,,,,
44.879,0.6,-0.3689,99.96493,-4.89E-02,9.54E-02,1,,,,,,
44.869,0.61,-0.37548,99.96493,-4.89E-02,9.54E-02,1,,,,,,
44.862,0.62,-0.37024,99.96393,-5.24E-02,9.54E-02,1,,,,,,
44.852,0.63,-0.36764,99.96393,-6.02E-02,9.54E-02,1,,,,,,
44.842,0.64,-0.36897,99.96393,-7.16E-02,9.54E-02,1,,,,,,
44.837,0.65,-0.37423,99.96192,-8.41E-02,9.54E-02,1,,,,,,
44.834,0.66,-0.36898,99.96192,-9.52E-02,9.54E-02,1,,,,,,
44.827,0.67,-0.36768,99.95992,-0.10301,9.54E-02,1,,,,,,
44.808,0.68,-0.37036,99.95992,-0.10697,9.54E-02,1,,,,,,
44.801,0.69,-0.36773,99.95792,-0.10682,9.54E-02,1,,,,,,
44.798,0.7,-0.36642,99.95691,-0.10247,9.54E-02,1,,,,,,
44.79,0.71,-0.37432,99.95591,-9.62E-02,9.54E-02,1,,,,,,
44.767,0.72,-0.37436,99.95491,-9.02E-02,9.54E-02,1,,,,,,
44.763,0.73,-0.37043,99.95491,-8.64E-02,9.54E-02,1,,,,,,
44.758,0.74,-0.37832,99.95291,-8.55E-02,9.53E-02,1,,,,,,
44.743,0.75,-0.3744,99.95291,-8.70E-02,9.53E-02,1,,,,,,
44.738,0.76,-0.37835,99.9519,-8.96E-02,9.53E-02,1,,,,,,
44.727,0.77,-0.38494,99.9509,-9.19E-02,9.53E-02,1,,,,,,
44.724,0.78,-0.38889,99.9499,-9.27E-02,9.53E-02,1,,,,,,
44.707,0.79,-0.38631,99.9489,-9.11E-02,9.53E-02,1,,,,,,
44.701,0.8,-0.38631,99.9479,-8.97E-02,9.53E-02,1,,,,,,
44.688,0.81,-0.3929,99.94689,-9.25E-02,9.53E-02,1,,,,,,
44.683,0.82,-0.39554,99.94689,-0.10105,9.53E-02,1,,,,,,
44.678,0.83,-0.40212,99.94589,-0.11385,9.53E-02,1,,,,,,
44.671,0.84,-0.40476,99.94389,-0.12634,9.53E-02,1,,,,,,
44.658,0.85,-0.40348,99.94289,-0.13452,9.53E-02,1,,,,,,
44.648,0.86,-0.41401,99.94088,-0.13803,9.53E-02,1,,,,,,
44.638,0.87,-0.41929,99.93988,-0.13954,9.53E-02,1,,,,,,
44.634,0.88,-0.4193,99.93888,-0.14177,9.53E-02,1,,,,,,
44.623,0.89,-0.42589,99.93687,-0.14539,9.53E-02,1,,,,,,
44.613,0.9,-0.42591,99.93587,-0.1503,9.53E-02,1,,,,,,
44.607,0.91,-0.43909,99.93387,-0.15519,9.53E-02,1,,,,,,
44.597,0.92,-0.45224,99.93287,-0.15837,9.53E-02,1,,,,,,
44.591,0.93,-0.46146,99.93086,-0.15858,9.53E-02,1,,,,,,
44.586,0.94,-0.46541,99.92886,-0.15502,9.53E-02,1,,,,,,
44.574,0.95,-0.47727,99.92786,-0.14912,9.53E-02,1,,,,,,
44.56,0.96,-0.48651,99.92585,-0.14478,9.53E-02,1,,,,,,
44.554,0.97,-0.49836,99.92485,-0.14725,9.53E-02,1,,,,,,
44.544,0.98,-0.51022,99.92385,-0.15814,9.52E-02,1,,,,,,
44.539,0.99,-0.52338,99.92285,-0.17414,9.52E-02,1,,,,,,
44.53,1,-0.52735,99.91984,-0.18967,9.52E-02,1,,,,,,
44.522,1.01,-0.54184,99.91784,-0.19973,9.52E-02,1,,,,,,
44.509,1.02,-0.54716,99.91583,-0.2036,9.52E-02,1,,,,,,
44.495,1.03,-0.55243,99.91383,-0.20416,9.52E-02,1,,,,,,
44.487,1.04,-0.57482,99.91182,-0.20495,9.52E-02,1,,,,,,
44.483,1.05,-0.58272,99.90982,-0.20738,9.52E-02,1,,,,,,
44.48,1.06,-0.58668,99.90782,-0.21057,9.52E-02,1,,,,,,
44.476,1.07,-0.59327,99.90581,-0.21325,9.52E-02,1,,,,,,
44.462,1.08,-0.61041,99.90281,-0.21415,9.52E-02,1,,,,,,
44.459,1.09,-0.62752,99.9018,-0.21175,9.52E-02,1,,,,,,
44.446,1.1,-0.63282,99.8988,-0.20492,9.52E-02,1,,,,,,
44.442,1.11,-0.65783,99.89679,-0.1937,9.52E-02,1,,,,,,
44.429,1.12,-0.66972,99.89479,-0.17757,9.52E-02,1,,,,,,
44.41,1.13,-0.68692,99.89379,-0.1574,9.52E-02,1,,,,,,
44.409,1.14,-0.70271,99.89078,-0.13734,9.52E-02,1,,,,,,
44.394,1.15,-0.71721,99.89078,-0.12202,9.52E-02,1,,,,,,
44.387,1.16,-0.72513,99.88978,-0.11581,9.52E-02,1,,,,,,
44.38,1.17,-0.74753,99.88878,-0.12102,9.52E-02,1,,,,,,
44.367,1.18,-0.76864,99.88778,-0.13461,9.52E-02,1,,,,,,
44.36,1.19,-0.78577,99.88677,-0.15036,9.52E-02,1,,,,,,
44.356,1.2,-0.8029,99.88377,-0.16506,9.52E-02,1,,,,,,
44.347,1.21,-0.82663,99.88277,-0.1795,9.52E-02,1,,,,,,
44.336,1.22,-0.83457,99.88076,-0.19638,9.51E-02,1,,,,,,
44.329,1.23,-0.85303,99.87976,-0.21685,9.51E-02,1,,,,,,
44.322,1.24,-0.87149,99.87675,-0.23489,9.51E-02,1,,,,,,
44.312,1.25,-0.90182,99.87475,-0.24152,9.51E-02,1,,,,,,
44.309,1.26,-0.92557,99.86974,-0.2331,9.51E-02,1,,,,,,
44.295,1.27,-0.94139,99.86874,-0.2146,9.51E-02,1,,,,,,
44.283,1.28,-0.9612,99.86673,-0.19626,9.51E-02,1,,,,,,
44.279,1.29,-0.98228,99.86573,-0.18658,9.51E-02,1,,,,,,
44.272,1.3,-0.99154,99.86373,-0.18713,9.51E-02,1,,,,,,
44.263,1.31,-1.01265,99.86172,-0.19375,9.51E-02,1,,,,,,
44.252,1.32,-1.03773,99.85972,-0.20209,9.51E-02,1,,,,,,
44.243,1.33,-1.06016,99.85772,-0.20883,9.51E-02,1,,,,,,
44.235,1.34,-1.08786,99.85571,-0.21284,9.51E-02,1,,,,,,
44.226,1.35,-1.1103,99.85271,-0.21415,9.51E-02,1,,,,,,
44.224,1.36,-1.13797,99.8517,-0.21221,9.51E-02,1,,,,,,
44.217,1.37,-1.15777,99.8487,-0.20742,9.51E-02,1,,,,,,
44.206,1.38,-1.18158,99.84669,-0.20168,9.51E-02,1,,,,,,
44.204,1.39,-1.21187,99.84469,-0.19665,9.51E-02,1,,,,,,
44.192,1.4,-1.22641,99.84369,-0.19353,9.51E-02,1,,,,,,
44.186,1.41,-1.24753,99.84068,-0.19219,9.51E-02,1,,,,,,
44.177,1.42,-1.27656,99.83968,-0.19089,9.51E-02,1,,,,,,
44.172,1.43,-1.30031,99.83667,-0.18857,9.51E-02,1,,,,,,
44.154,1.44,-1.32283,99.83567,-0.18545,9.51E-02,1,,,,,,
44.154,1.45,-1.34522,99.83367,-0.18161,9.51E-02,1,,,,,,
44.133,1.46,-1.37172,99.83166,-0.17744,9.51E-02,1,,,,,,
44.132,1.47,-1.39808,99.82966,-0.1741,9.51E-02,1,,,,,,
44.117,1.48,-1.42849,99.82866,-0.17208,9.50E-02,1,,,,,,
44.116,1.49,-1.44827,99.82665,-0.17313,9.50E-02,1,,,,,,
44.097,1.5,-1.47081,99.82465,-0.17825,9.50E-02,1,,,,,,
44.093,1.51,-1.50115,99.82365,-0.1855,9.50E-02,1,,,,,,
44.092,1.52,-1.52093,99.82164,-0.19267,9.50E-02,1,,,,,,
44.089,1.53,-1.55522,99.81864,-0.1974,9.50E-02,1,,,,,,
44.072,1.54,-1.56721,99.81764,-0.1991,9.50E-02,1,,,,,,
44.056,1.55,-1.59107,99.81463,-0.19969,9.50E-02,1,,,,,,
44.053,1.56,-1.62141,99.81363,-0.20109,9.50E-02,1,,,,,,
44.052,1.57,-1.64778,99.81162,-0.20347,9.50E-02,1,,,,,,
44.035,1.58,-1.66374,99.80862,-0.20512,9.50E-02,1,,,,,,
44.031,1.59,-1.6941,99.80762,-0.20438,9.50E-02,1,,,,,,
44.023,1.6,-1.72976,99.80461,-0.20142,9.50E-02,1,,,,,,
44.013,1.61,-1.74963,99.80261,-0.19918,9.50E-02,1,,,,,,
44.011,1.62,-1.78129,99.8016,-0.19903,9.50E-02,1,,,,,,
44.001,1.63,-1.80644,99.7996,-0.19926,9.50E-02,1,,,,,,
43.991,1.64,-1.83157,99.79659,-0.19924,9.50E-02,1,,,,,,
43.984,1.65,-1.85669,99.79459,-0.19862,9.50E-02,1,,,,,,
43.971,1.66,-1.87923,99.79359,-0.19744,9.50E-02,1,,,,,,
43.961,1.67,-1.90042,99.79158,-0.19602,9.50E-02,1,,,,,,
43.95,1.68,-1.92823,99.78858,-0.19147,9.50E-02,1,,,,,,
43.94,1.69,-1.9613,99.78758,-0.18004,9.50E-02,1,,,,,,
43.936,1.7,-1.9864,99.78457,-0.16187,9.50E-02,1,,,,,,
43.926,1.71,-2.00892,99.78357,-0.14123,9.50E-02,1,,,,,,
43.919,1.72,-2.03669,99.78257,-0.12296,9.50E-02,1,,,,,,
43.913,1.73,-2.05918,99.78156,-0.11022,9.49E-02,1,,,,,,
43.909,1.74,-2.08437,99.78056,-0.10404,9.49E-02,1,,,,,,
43.907,1.75,-2.12263,99.77956,-0.10276,9.49E-02,1,,,,,,
43.893,1.76,-2.13722,99.77856,-0.10565,9.49E-02,1,,,,,,
43.884,1.77,-2.16502,99.77756,-0.11307,9.49E-02,1,,,,,,
43.879,1.78,-2.18486,99.77655,-0.12444,9.49E-02,1,,,,,,
43.867,1.79,-2.21666,99.77555,-0.13806,9.49E-02,1,,,,,,
43.856,1.8,-2.23922,99.77355,-0.15001,9.49E-02,1,,,,,,
43.852,1.81,-2.26565,99.77255,-0.15634,9.49E-02,1,,,,,,
43.843,1.82,-2.29346,99.76954,-0.15691,9.49E-02,1,,,,,,
43.83,1.83,-2.31341,99.76854,-0.15563,9.49E-02,1,,,,,,
43.826,1.84,-2.35568,99.76754,-0.15604,9.49E-02,1,,,,,,
43.809,1.85,-2.37975,99.76653,-0.15899,9.49E-02,1,,,,,,
43.806,1.86,-2.39427,99.76353,-0.16223,9.49E-02,1,,,,,,
43.794,1.87,-2.42206,99.76253,-0.16282,9.49E-02,1,,,,,,
43.792,1.88,-2.44848,99.76052,-0.16015,9.49E-02,1,,,,,,
43.783,1.89,-2.46179,99.75952,-0.15515,9.49E-02,1,,,,,,
43.773,1.9,-2.48831,99.75752,-0.15012,9.49E-02,1,,,,,,
43.76,1.91,-2.52148,99.75551,-0.14694,9.49E-02,1,,,,,,
43.757,1.92,-2.55056,99.75551,-0.14617,9.49E-02,1,,,,,,
43.744,1.93,-2.57317,99.75351,-0.14677,9.49E-02,1,,,,,,
43.737,1.94,-2.60099,99.7515,-0.14641,9.49E-02,1,,,,,,
43.733,1.95,-2.63008,99.7505,-0.14281,9.49E-02,1,,,,,,
43.725,1.96,-2.65132,99.7485,-0.13644,9.49E-02,1,,,,,,
43.717,1.97,-2.68443,99.74749,-0.13106,9.49E-02,1,,,,,,
43.708,1.98,-2.70183,99.74649,-0.12856,9.48E-02,1,,,,,,
43.703,1.99,-2.72824,99.74549,-0.12908,9.48E-02,1,,,,,,
43.694,2,-2.75341,99.74349,-0.13271,9.48E-02,1,,,,,,
43.681,2.01,-2.7734,99.74248,-0.13832,9.48E-02,1,,,,,,
43.674,2.02,-2.79463,99.74148,-0.14552,9.48E-02,1,,,,,,
43.673,2.03,-2.82766,99.73948,-0.1535,9.48E-02,1,,,,,,
43.666,2.04,-2.84889,99.73848,-0.15819,9.48E-02,1,,,,,,
43.654,2.05,-2.86887,99.73647,-0.15649,9.48E-02,1,,,,,,
43.653,2.06,-2.90059,99.73347,-0.14987,9.48E-02,1,,,,,,
43.647,2.07,-2.92841,99.73347,-0.14196,9.48E-02,1,,,,,,
43.643,2.08,-2.94829,99.73246,-0.13571,9.48E-02,1,,,,,,
43.638,2.09,-2.97346,99.73046,-0.13091,9.48E-02,1,,,,,,
43.634,2.1,-3.0039,99.72946,-0.12383,9.48E-02,1,,,,,,
43.631,2.11,-3.02772,99.72745,-0.11254,9.48E-02,1,,,,,,
43.621,2.12,-3.04769,99.72645,-9.99E-02,9.48E-02,1,,,,,,
43.614,2.13,-3.07686,99.72645,-8.91E-02,9.48E-02,1,,,,,,
43.618,2.14,-3.09661,99.72545,-8.09E-02,9.48E-02,1,,,,,,
43.617,2.15,-3.12305,99.72445,-7.30E-02,9.48E-02,1,,,,,,
43.606,2.16,-3.15238,99.72345,-6.34E-02,9.48E-02,1,,,,,,
43.603,2.17,-3.16295,99.72244,-5.33E-02,9.48E-02,1,,,,,,
43.604,2.18,-3.19202,99.72345,-4.44E-02,9.48E-02,1,,,,,,
43.61,2.19,-3.21036,99.72244,-3.71E-02,9.48E-02,1,,,,,,
43.61,2.2,-3.23017,99.72144,-3.21E-02,9.48E-02,1,,,,,,
43.604,2.21,-3.25279,99.72144,-2.86E-02,9.48E-02,1,,,,,,
43.613,2.22,-3.27372,99.72244,-2.65E-02,9.48E-02,1,,,,,,
43.62,2.23,-3.29342,99.72044,-2.68E-02,9.48E-02,1,,,,,,
43.614,2.24,-3.30277,99.72144,-2.95E-02,9.48E-02,1,,,,,,
43.616,2.25,-3.32123,99.72044,-3.52E-02,9.48E-02,1,,,,,,
43.617,2.26,-3.35028,99.72044,-4.60E-02,9.48E-02,1,,,,,,
43.62,2.27,-3.36608,99.72044,-6.26E-02,9.48E-02,1,,,,,,
43.634,2.28,-3.37509,99.71944,-8.21E-02,9.48E-02,1,,,,,,
43.638,2.29,-3.40277,99.71844,-0.1004,9.48E-02,1,,,,,,
