#FILE:                       ,char_QD_30_06_10.dsu            
#FORMAT:                     ,NETZSCH5                        
#IDENTITY:                   ,Char QD                         
#DECIMAL:                    ,POINT                           
#SEPARATOR:                  ,COMMA                           
#MTYPE:                      ,DTA                             
#MSUBTYPE:                   ,                                
#INSTRUMENT:                 ,NETZSCH STA 449 C               
#PROJECT:                    ,Torrefaction                    
#DATE/TIME:                  ,30/06/2010 13:26:45             
#CORR. FILE:                 ,char_GF_23_06_10.bsu            
#LABORATORY:                 ,Sustainable Research Energ      
#OPERATOR:                   ,Xiaomian Baxter                 
#REMARK:                     ,                                
#SAMPLE:                     ,nonisoth oxid with init drying  
#SAMPLE MASS /mg:            ,9.270                           
#MATERIAL:                   ,char                            
#REFERENCE:                  ,Alumina                         
#REFERENCE MASS /mg:         ,0.000                           
#TYPE OF CRUCIBLE:           ,DTA/TG crucible Al2O3           
#SAMPLE CRUCIBLE MASS /mg:   ,0.000                           
#REFERENCE CRUCIBLE MASS /mg:,0.000                           
#CORR. CODE:                 ,020                             
#EXO:                        ,-1                              
#RANGE:                      ,30.0....900.0/-20.0....10.0K/min
#SEGMENT:                    ,S1-5/5                          

##Temp./øC,Time/min,DTA/(mW/mg),Mass/%,Sensit./(æV/mW),Segment
 32.11100,0.0000e+000, 6.3314e-002,100.00000,8.9451e-002,1
 32.10900,1.0000e-002, 5.8794e-002,100.00000,8.9446e-002,1
 32.10400,2.0000e-002, 6.4825e-002,100.00000,8.9446e-002,1
 32.10100,3.0000e-002, 6.0302e-002,100.00000,8.9446e-002,1
 32.10400,4.0000e-002, 6.6332e-002,100.00000,8.9446e-002,1
 32.10800,5.0000e-002, 6.6332e-002, 99.99892,8.9446e-002,1
 32.11500,6.0000e-002, 6.4820e-002, 99.99892,8.9452e-002,1
 32.10800,7.0000e-002, 6.6332e-002, 99.99892,8.9446e-002,1
 32.10900,8.0000e-002, 7.0855e-002, 99.99892,8.9446e-002,1
 32.11200,9.0000e-002, 7.0850e-002, 99.99892,8.9451e-002,1
 32.11100,    0.10000, 6.1806e-002, 99.99892,8.9451e-002,1
 32.10900,    0.11000, 6.6332e-002, 99.99892,8.9446e-002,1
 32.11200,    0.12000, 6.7836e-002, 99.99784,8.9451e-002,1
 32.11400,    0.13000, 7.3865e-002, 99.99676,8.9452e-002,1
 32.10900,    0.14000, 7.2362e-002, 99.99676,8.9446e-002,1
 32.10900,    0.15000, 6.9347e-002, 99.99569,8.9446e-002,1
 32.10400,    0.16000, 6.1810e-002, 99.99569,8.9446e-002,1
 32.10800,    0.17000, 6.4825e-002, 99.99461,8.9446e-002,1
 32.10900,    0.18000, 6.6332e-002, 99.99353,8.9446e-002,1
 32.11100,    0.19000, 6.4821e-002, 99.99245,8.9451e-002,1
 32.10500,    0.20000, 6.7840e-002, 99.99245,8.9446e-002,1
 32.11700,    0.21000, 5.8789e-002, 99.99245,8.9453e-002,1
 32.10500,    0.22000, 6.6332e-002, 99.99137,8.9446e-002,1
 32.10700,    0.23000, 7.0855e-002, 99.99137,8.9446e-002,1
 32.10900,    0.24000, 6.0302e-002, 99.99137,8.9446e-002,1
 32.10200,    0.25000, 7.2362e-002, 99.99137,8.9446e-002,1
 32.10400,    0.26000, 7.2362e-002, 99.99137,8.9446e-002,1
 32.10800,    0.27000, 7.3870e-002, 99.99029,8.9446e-002,1
 32.09600,    0.28000, 6.6334e-002, 99.99029,8.9444e-002,1
 32.10200,    0.29000, 6.6332e-002, 99.99029,8.9446e-002,1
 32.10500,    0.30000, 6.6332e-002, 99.99029,8.9446e-002,1
 32.10700,    0.31000, 6.6332e-002, 99.99029,8.9446e-002,1
 32.11100,    0.32000, 6.4821e-002, 99.99029,8.9451e-002,1
 32.10700,    0.33000, 6.9347e-002, 99.99137,8.9446e-002,1
 32.10700,    0.34000, 6.7840e-002, 99.99137,8.9446e-002,1
 32.10800,    0.35000, 6.7840e-002, 99.99137,8.9446e-002,1
 32.09600,    0.36000, 6.4826e-002, 99.99137,8.9444e-002,1
 32.10200,    0.37000, 6.4825e-002, 99.99137,8.9446e-002,1
 32.11100,    0.38000, 6.6328e-002, 99.99353,8.9451e-002,1
 32.10800,    0.39000, 6.6332e-002, 99.99353,8.9446e-002,1
 32.10500,    0.40000, 7.2362e-002, 99.99353,8.9446e-002,1
 32.09900,    0.41000, 7.0855e-002, 99.99353,8.9445e-002,1
 32.09900,    0.42000, 6.9348e-002, 99.99353,8.9445e-002,1
 32.09500,    0.43000, 6.7841e-002, 99.99461,8.9443e-002,1
 32.09300,    0.44000, 6.7842e-002, 99.99461,8.9442e-002,1
 32.09900,    0.45000, 7.0855e-002, 99.99353,8.9445e-002,1
 32.10100,    0.46000, 7.0855e-002, 99.99353,8.9446e-002,1
 32.09900,    0.47000, 7.0855e-002, 99.99353,8.9445e-002,1
 32.10400,    0.48000, 7.0855e-002, 99.99353,8.9446e-002,1
 32.09900,    0.49000, 6.9348e-002, 99.99353,8.9445e-002,1
 32.09900,    0.50000, 6.6333e-002, 99.99353,8.9445e-002,1
 32.10100,    0.51000, 7.2362e-002, 99.99245,8.9446e-002,1
 32.09500,    0.52000, 6.9349e-002, 99.99245,8.9443e-002,1
 32.09600,    0.53000, 6.6333e-002, 99.99245,8.9444e-002,1
 32.09900,    0.54000, 7.5378e-002, 99.99245,8.9445e-002,1
 32.10900,    0.55000, 6.9347e-002, 99.99245,8.9446e-002,1
 32.10500,    0.56000, 7.3870e-002, 99.99245,8.9446e-002,1
