#FILE:                       ,char_GF_23_06_10.dsu            
#FORMAT:                     ,NETZSCH5                        
#IDENTITY:                   ,char GF                         
#DECIMAL:                    ,POINT                           
#SEPARATOR:                  ,COMMA                           
#MTYPE:                      ,DTA                             
#MSUBTYPE:                   ,                                
#INSTRUMENT:                 ,NETZSCH STA 449 C               
#PROJECT:                    ,Torrefaction                    
#DATE/TIME:                  ,23/06/2010 08:50:22             
#CORR. FILE:                 ,char_GF_23_06_10.bsu            
#LABORATORY:                 ,Sustainable Research Energ      
#OPERATOR:                   ,EMF                             
#REMARK:                     ,                                
#SAMPLE:                     ,nonisoth oxid with init drying  
#SAMPLE MASS /mg:            ,10.100                          
#MATERIAL:                   ,Alumina                         
#REFERENCE:                  ,Alumina                         
#REFERENCE MASS /mg:         ,0.000                           
#TYPE OF CRUCIBLE:           ,DTA/TG crucible Al2O3           
#SAMPLE CRUCIBLE MASS /mg:   ,0.000                           
#REFERENCE CRUCIBLE MASS /mg:,0.000                           
#CORR. CODE:                 ,020                             
#EXO:                        ,-1                              
#RANGE:                      ,30.0....900.0/-20.0....10.0K/min
#SEGMENT:                    ,S1-5/5                          

##Temp./øC,Time/min,DTA/(mW/mg),Mass/%,Sensit./(æV/mW),Segment
 30.99300,0.0000e+000, 8.0709e-002,100.00000,8.8939e-002,1
 30.99500,1.0000e-002, 8.6275e-002,100.00000,8.8940e-002,1
 30.99000,2.0000e-002, 8.6277e-002,100.00000,8.8938e-002,1
 30.99500,3.0000e-002, 8.2100e-002,100.00000,8.8940e-002,1
 30.99500,4.0000e-002, 8.4883e-002,100.00000,8.8940e-002,1
 30.98700,5.0000e-002, 8.7670e-002,100.00000,8.8936e-002,1
 30.98700,6.0000e-002, 8.4887e-002,100.00000,8.8936e-002,1
 30.99200,7.0000e-002, 8.9059e-002,100.00000,8.8939e-002,1
 30.99800,8.0000e-002, 9.0448e-002,100.00000,8.8941e-002,1
 30.99600,9.0000e-002, 8.4883e-002,100.00000,8.8941e-002,1
 30.99500,    0.10000, 8.2100e-002,100.00099,8.8940e-002,1
 30.99300,    0.11000, 8.4884e-002,100.00099,8.8939e-002,1
 30.99300,    0.12000, 9.3233e-002,100.00000,8.8939e-002,1
 30.99200,    0.13000, 9.6017e-002,100.00000,8.8939e-002,1
 30.99300,    0.14000, 9.0450e-002,100.00099,8.8939e-002,1
 30.99500,    0.15000, 8.9058e-002,100.00000,8.8940e-002,1
 30.99200,    0.16000, 8.6276e-002,100.00000,8.8939e-002,1
 30.99900,    0.17000, 8.7664e-002, 99.99901,8.8942e-002,1
 30.99600,    0.18000, 8.7666e-002, 99.99901,8.8941e-002,1
 30.99200,    0.19000, 8.0710e-002, 99.99802,8.8939e-002,1
 30.99200,    0.20000, 9.0451e-002, 99.99802,8.8939e-002,1
 30.99900,    0.21000, 8.0707e-002, 99.99802,8.8942e-002,1
 30.99600,    0.22000, 8.6274e-002, 99.99703,8.8941e-002,1
 30.99000,    0.23000, 9.1843e-002, 99.99703,8.8938e-002,1
 30.99800,    0.24000, 8.7665e-002, 99.99703,8.8941e-002,1
 31.00100,    0.25000, 9.3230e-002, 99.99703,8.8942e-002,1
 31.00100,    0.26000, 9.3230e-002, 99.99703,8.8942e-002,1
 31.00700,    0.27000, 8.6272e-002, 99.99703,8.8942e-002,1
 31.01300,    0.28000, 8.6267e-002, 99.99703,8.8948e-002,1
