#FILE:                       ,char_LF_24_06_10again.dsu     ,,,,
#FORMAT:                     ,NETZSCH5                      ,,,,
#IDENTITY:                   ,char LF                       ,,,,
#DECIMAL:                    ,POINT                         ,,,,
#SEPARATOR:                  ,COMMA                         ,,,,
#MTYPE:                      ,DTA                           ,,,,
#MSUBTYPE:                   ,                              ,,,,
#INSTRUMENT:                 ,NETZSCH STA 449 C             ,,,,
#PROJECT:                    ,Torrefaction                  ,,,,
#DATE/TIME:                  ,24/06/2010 16:20:36           ,,,,
#CORR. FILE:                 ,char_GF_23_06_10.bsu          ,,,,
#LABORATORY:                 ,Sustainable Research Energ    ,,,,
#OPERATOR:                   ,EMF                           ,,,,
#REMARK:                     ,                              ,,,,
#SAMPLE:                     ,nonisoth oxid with init drying,,,,
#SAMPLE MASS /mg:            ,9.95,,,,
#MATERIAL:                   ,Alumina                       ,,,,
#REFERENCE:                  ,Alumina                       ,,,,
#REFERENCE MASS /mg:         ,0,,,,
#TYPE OF CRUCIBLE:           ,DTA/TG crucible Al2O3         ,,,,
#SAMPLE CRUCIBLE MASS /mg:   ,0,,,,
#REFERENCE CRUCIBLE MASS /mg:,0,,,,
#CORR. CODE:                 ,20,,,,
#EXO:                        ,-1,,,,
#RANGE:                      ,30.0....900.0/0.0....10.0K/min,,,,
#SEGMENT:                    ,S1-4/4                        ,,,,
,,,,,
##Temp./øC,Time/min,DTA/(mW/mg),Mass/%,Sensit./(æV/mW),Segment
34.571,0.00E+00,-1.11E-02,100,9.06E-02,1
34.573,1.00E-02,-9.71E-03,100,9.06E-02,1
34.578,2.00E-02,-6.93E-03,100,9.06E-02,1
34.581,3.00E-02,-1.25E-02,100,9.06E-02,1
34.578,4.00E-02,-5.55E-03,100,9.06E-02,1
34.575,5.00E-02,-6.93E-03,100,9.06E-02,1
34.575,6.00E-02,-8.32E-03,100,9.06E-02,1
34.582,7.00E-02,-5.55E-03,100,9.06E-02,1
34.581,8.00E-02,-8.32E-03,100.00101,9.06E-02,1
34.578,9.00E-02,-4.16E-03,100.00101,9.06E-02,1
34.57,0.1,-6.93E-03,100.00101,9.06E-02,1
34.57,0.11,-4.16E-03,100.00201,9.06E-02,1
34.572,0.12,0.00E+00,100.00101,9.06E-02,1
34.573,0.13,2.77E-03,100.00201,9.06E-02,1
34.564,0.14,-5.55E-03,100.00302,9.06E-02,1
34.567,0.15,-4.16E-03,100.00302,9.06E-02,1
34.572,0.16,-1.39E-02,100.00402,9.06E-02,1
34.573,0.17,-1.39E-02,100.00402,9.06E-02,1
34.567,0.18,-9.71E-03,100.00402,9.06E-02,1
34.57,0.19,-8.32E-03,100.00302,9.06E-02,1
34.563,0.2,-6.93E-03,100.00402,9.06E-02,1
34.563,0.21,-8.32E-03,100.00402,9.06E-02,1
34.566,0.22,-9.71E-03,100.00302,9.06E-02,1
34.566,0.23,-6.93E-03,100.00302,9.06E-02,1
34.563,0.24,-6.93E-03,100.00302,9.06E-02,1
34.557,0.25,0.00E+00,100.00302,9.06E-02,1
34.566,0.26,-1.39E-03,100.00302,9.06E-02,1
34.561,0.27,-5.55E-03,100.00302,9.06E-02,1
34.569,0.28,-6.93E-03,100.00302,9.06E-02,1
34.56,0.29,-6.93E-03,100.00302,9.06E-02,1
34.556,0.3,-1.25E-02,100.00302,9.06E-02,1
34.55,0.31,-4.16E-03,100.00302,9.06E-02,1
34.551,0.32,-1.25E-02,100.00302,9.06E-02,1
34.554,0.33,-1.39E-02,100.00503,9.06E-02,1
34.548,0.34,-1.39E-02,100.00503,9.06E-02,1
34.544,0.35,-1.80E-02,100.00503,9.06E-02,1
34.556,0.36,-1.25E-02,100.00603,9.06E-02,1
34.554,0.37,-9.71E-03,100.00603,9.06E-02,1
34.553,0.38,-6.94E-03,100.00804,9.06E-02,1
34.56,0.39,-1.39E-03,100.00804,9.06E-02,1
34.558,0.4,-1.39E-03,100.00804,9.06E-02,1
34.556,0.41,-4.16E-03,100.00905,9.06E-02,1
34.556,0.42,-5.55E-03,100.00905,9.06E-02,1
34.556,0.43,-1.11E-02,100.01005,9.06E-02,1
34.556,0.44,6.94E-03,100.01005,9.06E-02,1
34.553,0.45,0.00E+00,100.01005,9.06E-02,1
34.553,0.46,-2.77E-03,100.01005,9.06E-02,1
34.554,0.47,-4.16E-03,100.01005,9.06E-02,1
34.554,0.48,-6.94E-03,100.00905,9.06E-02,1
34.554,0.49,-8.32E-03,100.00905,9.06E-02,1
34.551,0.5,-1.11E-02,100.00804,9.06E-02,1
34.553,0.51,-4.16E-03,100.00804,9.06E-02,1
34.55,0.52,-1.39E-03,100.00603,9.06E-02,1
34.548,0.53,0.00E+00,100.00603,9.06E-02,1
34.544,0.54,8.32E-03,100.00503,9.06E-02,1
34.545,0.55,5.55E-03,100.00503,9.06E-02,1
34.548,0.56,0.00E+00,100.00402,9.06E-02,1
34.551,0.57,2.77E-03,100.00402,9.06E-02,1
34.548,0.58,2.77E-03,100.00402,9.06E-02,1
34.548,0.59,-2.77E-03,100.00503,9.06E-02,1
34.55,0.6,2.77E-03,100.00503,9.06E-02,1
34.547,0.61,4.16E-03,100.00503,9.06E-02,1
34.547,0.62,5.55E-03,100.00503,9.06E-02,1
34.551,0.63,2.77E-03,100.00503,9.06E-02,1
34.544,0.64,1.39E-03,100.00603,9.06E-02,1
34.55,0.65,4.16E-03,100.00603,9.06E-02,1
34.553,0.66,8.32E-03,100.00704,9.06E-02,1
34.554,0.67,1.39E-02,100.00704,9.06E-02,1
34.547,0.68,1.39E-02,100.00704,9.06E-02,1
34.545,0.69,1.25E-02,100.00603,9.06E-02,1
34.542,0.7,6.94E-03,100.00704,9.06E-02,1
34.547,0.71,0.00E+00,100.00603,9.06E-02,1
34.547,0.72,1.39E-03,100.00603,9.06E-02,1
34.544,0.73,5.55E-03,100.00704,9.06E-02,1
34.551,0.74,1.25E-02,100.00704,9.06E-02,1
34.545,0.75,1.53E-02,100.00804,9.06E-02,1
34.544,0.76,1.25E-02,100.00704,9.06E-02,1
34.548,0.77,9.71E-03,100.00804,9.06E-02,1
34.544,0.78,8.32E-03,100.00804,9.06E-02,1
34.542,0.79,8.32E-03,100.00905,9.06E-02,1
34.547,0.8,5.55E-03,100.00905,9.06E-02,1
34.55,0.81,6.94E-03,100.00905,9.06E-02,1
34.547,0.82,1.11E-02,100.00905,9.06E-02,1
34.55,0.83,8.32E-03,100.00905,9.06E-02,1
34.55,0.84,8.32E-03,100.00905,9.06E-02,1
34.55,0.85,0.00E+00,100.00905,9.06E-02,1
34.551,0.86,4.16E-03,100.00704,9.06E-02,1
34.556,0.87,0.00E+00,100.00603,9.06E-02,1
34.563,0.88,-1.39E-03,100.00603,9.06E-02,1
34.556,0.89,-4.16E-03,100.00503,9.06E-02,1
34.564,0.9,-4.16E-03,100.00402,9.06E-02,1
34.561,0.91,-8.32E-03,100.00201,9.06E-02,1
34.564,0.92,-6.93E-03,100.00101,9.06E-02,1
34.561,0.93,-8.32E-03,100,9.06E-02,1
34.564,0.94,-1.39E-02,99.99899,9.06E-02,1
34.566,0.95,-1.25E-02,99.99698,9.06E-02,1
34.572,0.96,-1.94E-02,99.99598,9.06E-02,1
34.575,0.97,-2.22E-02,99.99497,9.06E-02,1
34.582,0.98,-2.36E-02,99.99296,9.06E-02,1
34.578,0.99,-2.77E-02,99.99095,9.06E-02,1
34.588,1,-2.50E-02,99.98995,9.06E-02,1
34.594,1.01,-3.47E-02,99.98794,9.06E-02,1
34.6,1.02,-3.88E-02,99.98794,9.06E-02,1
34.606,1.03,-4.58E-02,99.98593,9.06E-02,1
34.618,1.04,-5.55E-02,99.98392,9.06E-02,1
34.63,1.05,-5.68E-02,99.98191,9.06E-02,1
34.632,1.06,-6.24E-02,99.9809,9.06E-02,1
34.64,1.07,-6.52E-02,99.9799,9.06E-02,1
34.644,1.08,-7.49E-02,99.97889,9.06E-02,1
34.656,1.09,-8.73E-02,99.97688,9.06E-02,1
34.66,1.1,-8.73E-02,99.97688,9.06E-02,1
