#FILE:                       ,Char_LF_reground_22_10_10.dsu 
#FORMAT:                     ,NETZSCH5                      
#IDENTITY:                   ,Char LF reground_22_10_10     
#DECIMAL:                    ,POINT                         
#SEPARATOR:                  ,COMMA                         
#MTYPE:                      ,DTA                           
#MSUBTYPE:                   ,                              
#INSTRUMENT:                 ,NETZSCH STA 449 C             
#PROJECT:                    ,Torrefaction                  
#DATE/TIME:                  ,22/10/2010 13:34:45           
#CORR. FILE:                 ,buoyancy_drying_13_10_10.bsu  
#LABORATORY:                 ,Sustainable Research Energ    
#OPERATOR:                   ,A Saddawi                     
#REMARK:                     ,                              
#SAMPLE:                     ,nonisoth oxid with init drying
#SAMPLE MASS /mg:            ,10.120                        
#MATERIAL:                   ,char                          
#REFERENCE:                  ,Alumina                       
#REFERENCE MASS /mg:         ,0.000                         
#TYPE OF CRUCIBLE:           ,DTA/TG crucible Al2O3         
#SAMPLE CRUCIBLE MASS /mg:   ,0.000                         
#REFERENCE CRUCIBLE MASS /mg:,0.000                         
#CORR. CODE:                 ,020                           
#EXO:                        ,-1                            
#RANGE:                      ,30.0....900.0/0.0....10.0K/min
#SEGMENT:                    ,S1-4/4                        

##Temp./øC,Time/min,DTA/(mW/mg),Mass/%,DTG/(%/min),Sensit./(æV/mW),Segment
 31.30800,0.0000e+000,-6.3784e-002,100.00000,-5.2121e-002,8.9079e-002,1
 31.30700,1.0000e-002,-6.7944e-002,100.00000,-5.3762e-002,8.9079e-002,1
 31.30100,2.0000e-002,-6.7944e-002, 99.99901,-5.5404e-002,8.9079e-002,1
 31.30200,3.0000e-002,-5.5464e-002, 99.99802,-5.7045e-002,8.9079e-002,1
 31.30700,4.0000e-002,-5.6851e-002, 99.99802,-6.0573e-002,8.9079e-002,1
 31.30100,5.0000e-002,-5.1304e-002, 99.99802,-6.8829e-002,8.9079e-002,1
 31.30100,6.0000e-002,-5.6851e-002, 99.99704,-7.7852e-002,8.9079e-002,1
 31.30100,7.0000e-002,-6.3784e-002, 99.99506,-8.4943e-002,8.9079e-002,1
 31.30700,8.0000e-002,-6.2397e-002, 99.99506,-8.9342e-002,8.9079e-002,1
 31.30400,9.0000e-002,-6.2397e-002, 99.99407,-9.2895e-002,8.9079e-002,1
 31.29800,    0.10000,-5.6851e-002, 99.99308,-9.8058e-002,8.9079e-002,1
 31.30500,    0.11000,-5.9624e-002, 99.99209,    -0.10532,8.9079e-002,1
 31.29800,    0.12000,-5.2691e-002, 99.99111,    -0.11285,8.9079e-002,1
 31.30100,    0.13000,-6.1011e-002, 99.99012,    -0.11907,8.9079e-002,1
 31.30100,    0.14000,-6.9330e-002, 99.98814,    -0.12354,8.9079e-002,1
 31.29900,    0.15000,-6.9330e-002, 99.98715,    -0.12756,8.9079e-002,1
 31.30100,    0.16000,-6.3784e-002, 99.98617,    -0.13238,8.9079e-002,1
 31.30400,    0.17000,-6.3784e-002, 99.98518,    -0.13637,8.9079e-002,1
 31.30400,    0.18000,-6.1011e-002, 99.98320,    -0.13595,8.9079e-002,1
 31.30700,    0.19000,-6.9330e-002, 99.98123,    -0.12815,8.9079e-002,1
 31.30400,    0.20000,-6.6557e-002, 99.98024,    -0.11371,8.9079e-002,1
 31.30400,    0.21000,-7.0717e-002, 99.97925,-9.7813e-002,8.9079e-002,1
 31.30100,    0.22000,-6.6557e-002, 99.97826,-8.6399e-002,8.9079e-002,1
 31.30200,    0.23000,-6.2397e-002, 99.97826,-8.1910e-002,8.9079e-002,1
 31.29800,    0.24000,-6.9331e-002, 99.97727,-8.2704e-002,8.9079e-002,1
 31.30200,    0.25000,-6.9330e-002, 99.97628,-8.4943e-002,8.9079e-002,1
 31.30200,    0.26000,-7.0717e-002, 99.97530,-8.4539e-002,8.9079e-002,1
 31.30500,    0.27000,-7.2103e-002, 99.97431,-8.0611e-002,8.9079e-002,1
 31.30200,    0.28000,-7.0717e-002, 99.97332,-7.5327e-002,8.9079e-002,1
 31.30100,    0.29000,-6.9330e-002, 99.97332,-7.0863e-002,8.9079e-002,1
 31.29500,    0.30000,-7.2105e-002, 99.97233,-6.9068e-002,8.9077e-002,1
 31.30200,    0.31000,-6.9330e-002, 99.97134,-7.0863e-002,8.9079e-002,1
 31.30400,    0.32000,-7.0717e-002, 99.97134,-7.5351e-002,8.9079e-002,1
 31.30200,    0.33000,-7.2103e-002, 99.97036,-8.0990e-002,8.9079e-002,1
 31.30400,    0.34000,-7.7650e-002, 99.96937,-8.5801e-002,8.9079e-002,1
 31.30100,    0.35000,-8.0423e-002, 99.96838,-8.7768e-002,8.9079e-002,1
 31.29900,    0.36000,-7.4877e-002, 99.96739,-8.7119e-002,8.9079e-002,1
 31.30200,    0.37000,-6.9330e-002, 99.96640,-8.5357e-002,8.9079e-002,1
 31.29600,    0.38000,-7.4878e-002, 99.96640,-8.3917e-002,8.9078e-002,1
 31.29300,    0.39000,-7.2106e-002, 99.96443,-8.3941e-002,8.9076e-002,1
 31.30400,    0.40000,-7.3490e-002, 99.96443,-8.5761e-002,8.9079e-002,1
 31.31000,    0.41000,-7.4877e-002, 99.96344,-8.8760e-002,8.9079e-002,1
 31.30800,    0.42000,-7.4877e-002, 99.96245,-9.1927e-002,8.9079e-002,1
 31.30200,    0.43000,-7.2103e-002, 99.96146,-9.4300e-002,8.9079e-002,1
 31.30800,    0.44000,-6.9330e-002, 99.96047,-9.4655e-002,8.9079e-002,1
 31.30500,    0.45000,-7.4877e-002, 99.95949,-9.3189e-002,8.9079e-002,1
 31.30400,    0.46000,-7.6263e-002, 99.95850,-9.1585e-002,8.9079e-002,1
 31.30700,    0.47000,-7.4877e-002, 99.95751,-9.0176e-002,8.9079e-002,1
 31.30100,    0.48000,-7.4877e-002, 99.95751,-8.7389e-002,8.9079e-002,1
 31.30100,    0.49000,-7.4877e-002, 99.95553,-8.1434e-002,8.9079e-002,1
 31.31000,    0.50000,-8.4583e-002, 99.95455,-7.1485e-002,8.9079e-002,1
 31.30800,    0.51000,-8.3196e-002, 99.95455,-5.9168e-002,8.9079e-002,1
 31.31100,    0.52000,-7.2099e-002, 99.95356,-4.8430e-002,8.9084e-002,1
 31.32000,    0.53000,-6.9323e-002, 99.95356,-4.2533e-002,8.9089e-002,1
 31.32000,    0.54000,-6.7937e-002, 99.95356,-4.1445e-002,8.9089e-002,1
 31.31900,    0.55000,-7.0710e-002, 99.95257,-4.3327e-002,8.9088e-002,1
 31.32600,    0.56000,-6.7934e-002, 99.95257,-4.6179e-002,8.9091e-002,1
 31.32600,    0.57000,-7.4867e-002, 99.95158,-4.8121e-002,8.9091e-002,1
 31.32600,    0.58000,-6.7934e-002, 99.95158,-4.9028e-002,8.9091e-002,1
 31.32900,    0.59000,-7.0706e-002, 99.95059,-4.9407e-002,8.9093e-002,1
 31.33800,    0.60000,-7.3476e-002, 99.95059,-4.9811e-002,8.9097e-002,1
 31.33900,    0.61000,-7.6248e-002, 99.94960,-5.1072e-002,8.9097e-002,1
 31.34700,    0.62000,-7.4859e-002, 99.94960,-5.3921e-002,8.9101e-002,1
 31.34700,    0.63000,-6.6541e-002, 99.94862,-5.8789e-002,8.9101e-002,1
 31.35300,    0.64000,-6.7925e-002, 99.94862,-6.4659e-002,8.9104e-002,1
 31.36000,    0.65000,-6.7923e-002, 99.94763,-6.9263e-002,8.9107e-002,1
 31.36900,    0.66000,-6.9306e-002, 99.94664,-7.1205e-002,8.9111e-002,1
 31.36500,    0.67000,-6.6535e-002, 99.94565,-7.0409e-002,8.9109e-002,1
 31.37800,    0.68000,-6.5144e-002, 99.94565,-6.7484e-002,8.9115e-002,1
 31.37800,    0.69000,-5.9600e-002, 99.94466,-6.3343e-002,8.9115e-002,1
 31.39000,    0.70000,-5.8210e-002, 99.94368,-5.8176e-002,8.9121e-002,1
 31.40000,    0.71000,-6.3751e-002, 99.94368,-5.1804e-002,8.9125e-002,1
 31.40800,    0.72000,-5.9593e-002, 99.94269,-4.4589e-002,8.9125e-002,1
 31.42300,    0.73000,-5.8201e-002, 99.94269,-3.9048e-002,8.9136e-002,1
 31.43400,    0.74000,-5.8197e-002, 99.94170,-3.7345e-002,8.9141e-002,1
 31.43900,    0.75000,-4.8496e-002, 99.94269,-3.9606e-002,8.9143e-002,1
 31.45800,    0.76000,-4.7106e-002, 99.94170,-4.4335e-002,8.9152e-002,1
 31.46700,    0.77000,-5.1260e-002, 99.94071,-4.8415e-002,8.9156e-002,1
 31.48000,    0.78000,-5.1257e-002, 99.94071,-4.9760e-002,8.9162e-002,1
 31.49200,    0.79000,-5.1254e-002, 99.93972,-4.8146e-002,8.9167e-002,1
 31.50600,    0.80000,-3.8785e-002, 99.93972,-4.5826e-002,8.9171e-002,1
 31.52100,    0.81000,-3.7396e-002, 99.93874,-4.5532e-002,8.9181e-002,1
 31.53100,    0.82000,-3.4624e-002, 99.93874,-4.8988e-002,8.9185e-002,1
 31.54900,    0.83000,-3.4621e-002, 99.93874,-5.5915e-002,8.9193e-002,1
 31.56400,    0.84000,-3.1849e-002, 99.93775,-6.3134e-002,8.9200e-002,1
 31.57800,    0.85000,-3.1846e-002, 99.93676,-6.8001e-002,8.9207e-002,1
 31.59100,    0.86000,-2.7691e-002, 99.93577,-6.9527e-002,8.9213e-002,1
 31.61600,    0.87000,-2.3534e-002, 99.93577,-6.8819e-002,8.9224e-002,1
 31.63200,    0.88000,-2.3532e-002, 99.93478,-6.8616e-002,8.9231e-002,1
 31.65200,    0.89000,-1.6609e-002, 99.93379,-7.0459e-002,8.9240e-002,1
 31.68000,    0.90000,-1.5223e-002, 99.93379,-7.4041e-002,8.9253e-002,1
 31.69200,    0.91000,-8.3029e-003, 99.93281,-7.7334e-002,8.9259e-002,1
 31.71700,    0.92000,-1.5220e-002, 99.93182,-7.7603e-002,8.9270e-002,1
 31.73300,    0.93000,-1.2452e-002, 99.93083,-7.2844e-002,8.9278e-002,1
 31.76400,    0.94000,-4.1499e-003, 99.92984,-6.3447e-002,8.9292e-002,1
 31.79800,    0.95000,-1.2448e-002, 99.92984,-5.2737e-002,8.9307e-002,1
