#FILE:                       ,char_NF_23_06_10.dsu            ,,,,
#FORMAT:                     ,NETZSCH5                        ,,,,
#IDENTITY:                   ,char NF                         ,,,,
#DECIMAL:                    ,POINT                           ,,,,
#SEPARATOR:                  ,COMMA                           ,,,,
#MTYPE:                      ,DTA                             ,,,,
#MSUBTYPE:                   ,                                ,,,,
#INSTRUMENT:                 ,NETZSCH STA 449 C               ,,,,
#PROJECT:                    ,Torrefaction                    ,,,,
#DATE/TIME:                  ,23/06/2010 16:36:56             ,,,,
#CORR. FILE:                 ,char_GF_23_06_10.bsu            ,,,,
#LABORATORY:                 ,Sustainable Research Energ      ,,,,
#OPERATOR:                   ,EMF                             ,,,,
#REMARK:                     ,                                ,,,,
#SAMPLE:                     ,nonisoth oxid with init drying  ,,,,
#SAMPLE MASS /mg:            ,10.33,,,,
#MATERIAL:                   ,Alumina                         ,,,,
#REFERENCE:                  ,Alumina                         ,,,,
#REFERENCE MASS /mg:         ,0,,,,
#TYPE OF CRUCIBLE:           ,DTA/TG crucible Al2O3           ,,,,
#SAMPLE CRUCIBLE MASS /mg:   ,0,,,,
#REFERENCE CRUCIBLE MASS /mg:,0,,,,
#CORR. CODE:                 ,20,,,,
#EXO:                        ,-1,,,,
#RANGE:                      ,30.0....900.0/-20.0....10.0K/min,,,,
#SEGMENT:                    ,S1-5/5                          ,,,,
,,,,,
##Temp./?C,Time/min,DTA/(mW/mg),Mass/%,Sensit./(‘V/mW),Segment
34.349,0.00E+00,4.81E-02,100,9.05E-02,1
34.352,1.00E-02,5.08E-02,99.99903,9.05E-02,1
34.352,2.00E-02,5.22E-02,99.99903,9.05E-02,1
34.352,3.00E-02,5.48E-02,99.99806,9.05E-02,1
34.352,4.00E-02,5.35E-02,99.99806,9.05E-02,1
34.357,5.00E-02,4.55E-02,99.99806,9.05E-02,1
34.355,6.00E-02,4.95E-02,99.9971,9.05E-02,1
34.355,7.00E-02,5.88E-02,99.9971,9.05E-02,1
34.354,8.00E-02,5.75E-02,99.9971,9.05E-02,1
34.352,9.00E-02,6.02E-02,99.9971,9.05E-02,1
34.358,0.1,4.95E-02,99.9971,9.05E-02,1
34.352,0.11,4.68E-02,99.9971,9.05E-02,1
34.355,0.12,5.35E-02,99.99613,9.05E-02,1
34.357,0.13,5.88E-02,99.99613,9.05E-02,1
34.354,0.14,5.75E-02,99.99613,9.05E-02,1
34.349,0.15,5.35E-02,99.99516,9.05E-02,1
34.351,0.16,4.68E-02,99.99516,9.05E-02,1
34.351,0.17,4.68E-02,99.99419,9.05E-02,1
34.354,0.18,4.55E-02,99.99419,9.05E-02,1
34.358,0.19,4.28E-02,99.99322,9.05E-02,1
34.355,0.2,5.35E-02,99.99322,9.05E-02,1
34.349,0.21,4.81E-02,99.99322,9.05E-02,1
34.349,0.22,5.22E-02,99.99226,9.05E-02,1
34.351,0.23,5.88E-02,99.99322,9.05E-02,1
34.352,0.24,5.35E-02,99.99322,9.05E-02,1
34.348,0.25,5.88E-02,99.99322,9.05E-02,1
34.345,0.26,5.75E-02,99.99419,9.05E-02,1
34.348,0.27,6.02E-02,99.99419,9.05E-02,1
34.354,0.28,5.48E-02,99.99419,9.05E-02,1
34.355,0.29,5.48E-02,99.99419,9.05E-02,1
34.355,0.3,5.22E-02,99.99419,9.05E-02,1
34.352,0.31,5.88E-02,99.99419,9.05E-02,1
34.352,0.32,4.81E-02,99.99419,9.05E-02,1
34.348,0.33,4.81E-02,99.99516,9.05E-02,1
34.354,0.34,5.08E-02,99.99516,9.05E-02,1
34.351,0.35,4.95E-02,99.99516,9.05E-02,1
34.351,0.36,5.08E-02,99.99516,9.05E-02,1
34.352,0.37,4.55E-02,99.99516,9.05E-02,1
34.351,0.38,5.48E-02,99.99516,9.05E-02,1
34.346,0.39,5.62E-02,99.99516,9.05E-02,1
34.351,0.4,5.75E-02,99.99516,9.05E-02,1
34.346,0.41,5.75E-02,99.99516,9.05E-02,1
34.346,0.42,5.48E-02,99.99419,9.05E-02,1
34.351,0.43,5.88E-02,99.99516,9.05E-02,1
34.349,0.44,5.88E-02,99.99419,9.05E-02,1
34.349,0.45,5.88E-02,99.99419,9.05E-02,1
34.351,0.46,5.88E-02,99.99419,9.05E-02,1
34.358,0.47,5.88E-02,99.99322,9.05E-02,1
34.355,0.48,5.88E-02,99.99322,9.05E-02,1
34.352,0.49,5.48E-02,99.99322,9.05E-02,1
34.351,0.5,5.35E-02,99.99322,9.05E-02,1
34.349,0.51,5.75E-02,99.99322,9.05E-02,1
34.354,0.52,6.02E-02,99.99322,9.05E-02,1
34.357,0.53,6.02E-02,99.99322,9.05E-02,1
34.357,0.54,6.95E-02,99.99322,9.05E-02,1
34.362,0.55,6.55E-02,99.99322,9.05E-02,1
34.364,0.56,6.29E-02,99.99322,9.05E-02,1
34.361,0.57,6.29E-02,99.99226,9.05E-02,1
34.361,0.58,6.29E-02,99.99226,9.05E-02,1
34.358,0.59,6.15E-02,99.99322,9.05E-02,1
34.364,0.6,6.69E-02,99.99322,9.05E-02,1
34.365,0.61,6.55E-02,99.99322,9.05E-02,1
34.362,0.62,6.29E-02,99.99322,9.05E-02,1
34.362,0.63,6.82E-02,99.99322,9.05E-02,1
34.359,0.64,6.55E-02,99.99322,9.05E-02,1
34.357,0.65,6.95E-02,99.99322,9.05E-02,1
34.357,0.66,6.42E-02,99.99322,9.05E-02,1
34.355,0.67,7.36E-02,99.99226,9.05E-02,1
34.359,0.68,6.95E-02,99.99129,9.05E-02,1
34.359,0.69,6.69E-02,99.99032,9.05E-02,1
34.355,0.7,6.95E-02,99.98935,9.05E-02,1
34.361,0.71,6.69E-02,99.98838,9.05E-02,1
34.358,0.72,6.55E-02,99.98645,9.05E-02,1
34.361,0.73,6.95E-02,99.98548,9.05E-02,1
34.358,0.74,7.09E-02,99.98354,9.05E-02,1
34.364,0.75,7.89E-02,99.98258,9.05E-02,1
34.361,0.76,7.49E-02,99.98064,9.05E-02,1
34.361,0.77,7.22E-02,99.97967,9.05E-02,1
34.355,0.78,7.89E-02,99.9787,9.05E-02,1
34.358,0.79,6.95E-02,99.9787,9.05E-02,1
34.362,0.8,6.82E-02,99.9787,9.05E-02,1
34.365,0.81,7.49E-02,99.9787,9.05E-02,1
34.362,0.82,7.76E-02,99.9787,9.05E-02,1
34.364,0.83,7.62E-02,99.9787,9.05E-02,1
34.367,0.84,6.95E-02,99.9787,9.05E-02,1
34.364,0.85,6.95E-02,99.9787,9.05E-02,1
34.371,0.86,7.89E-02,99.97773,9.05E-02,1
34.373,0.87,7.49E-02,99.97773,9.05E-02,1
34.375,0.88,6.82E-02,99.97773,9.05E-02,1
34.378,0.89,6.55E-02,99.9787,9.05E-02,1
34.379,0.9,6.95E-02,99.97773,9.05E-02,1
34.379,0.91,6.15E-02,99.97677,9.05E-02,1
34.389,0.92,6.42E-02,99.9758,9.05E-02,1
34.388,0.93,6.42E-02,99.97483,9.05E-02,1
34.394,0.94,6.42E-02,99.97386,9.05E-02,1
34.394,0.95,6.55E-02,99.97193,9.05E-02,1
34.395,0.96,6.02E-02,99.97096,9.05E-02,1
34.403,0.97,5.75E-02,99.96999,9.05E-02,1
34.403,0.98,5.75E-02,99.96902,9.05E-02,1
34.407,0.99,5.48E-02,99.96709,9.05E-02,1
34.414,1,4.68E-02,99.96709,9.05E-02,1
34.417,1.01,4.55E-02,99.96515,9.05E-02,1
34.429,1.02,4.28E-02,99.96515,9.05E-02,1
34.441,1.03,3.74E-02,99.96321,9.05E-02,1
34.45,1.04,3.61E-02,99.96225,9.05E-02,1
34.454,1.05,3.61E-02,99.96128,9.05E-02,1
34.46,1.06,3.07E-02,99.96031,9.05E-02,1
34.467,1.07,2.94E-02,99.96031,9.05E-02,1
34.478,1.08,2.81E-02,99.95837,9.05E-02,1
34.486,1.09,1.74E-02,99.95741,9.05E-02,1
34.494,1.1,1.47E-02,99.95837,9.05E-02,1
34.507,1.11,2.00E-02,99.95837,9.05E-02,1
34.519,1.12,9.35E-03,99.95837,9.06E-02,1
34.534,1.13,8.02E-03,99.95837,9.06E-02,1
34.551,1.14,6.68E-03,99.95837,9.06E-02,1
34.564,1.15,0.00E+00,99.95934,9.06E-02,1
34.572,1.16,-5.34E-03,99.95837,9.06E-02,1
34.588,1.17,-5.34E-03,99.95837,9.06E-02,1
34.607,1.18,-1.07E-02,99.95837,9.06E-02,1
34.621,1.19,-1.47E-02,99.95837,9.06E-02,1
34.631,1.2,-2.40E-02,99.95741,9.06E-02,1
34.647,1.21,-3.07E-02,99.95644,9.06E-02,1
34.66,1.22,-3.07E-02,99.95547,9.06E-02,1
34.684,1.23,-3.74E-02,99.95547,9.06E-02,1
34.694,1.24,-3.74E-02,99.9545,9.06E-02,1
34.731,1.25,-3.87E-02,99.95353,9.07E-02,1
34.75,1.26,-4.54E-02,99.95353,9.07E-02,1
34.768,1.27,-4.67E-02,99.95353,9.07E-02,1
34.786,1.28,-5.60E-02,99.9545,9.07E-02,1
34.809,1.29,-5.60E-02,99.95353,9.07E-02,1
34.83,1.3,-6.54E-02,99.9545,9.07E-02,1
34.861,1.31,-6.80E-02,99.95353,9.07E-02,1
34.886,1.32,-7.34E-02,99.95353,9.07E-02,1
34.903,1.33,-8.00E-02,99.9545,9.07E-02,1
34.925,1.34,-8.67E-02,99.95257,9.07E-02,1
34.959,1.35,-8.80E-02,99.9516,9.08E-02,1
34.991,1.36,-9.73E-02,99.9516,9.08E-02,1
35.016,1.37,-0.10263,99.9516,9.08E-02,1
35.054,1.38,-0.10661,99.9516,9.08E-02,1
35.081,1.39,-0.10926,99.95063,9.08E-02,1
35.119,1.4,-0.10791,99.95063,9.08E-02,1
35.163,1.41,-0.11454,99.95063,9.09E-02,1
35.181,1.42,-0.11986,99.95063,9.09E-02,1
35.216,1.43,-0.12516,99.95063,9.09E-02,1
35.249,1.44,-0.13313,99.95063,9.09E-02,1
35.28,1.45,-0.13444,99.94966,9.09E-02,1
35.324,1.46,-0.13574,99.94966,9.09E-02,1
35.369,1.47,-0.14236,99.95063,9.10E-02,1
35.396,1.48,-0.1583,99.95063,9.10E-02,1
35.434,1.49,-0.16359,99.95063,9.10E-02,1
35.471,1.5,-0.17021,99.95063,9.10E-02,1
35.532,1.51,-0.1675,99.95063,9.10E-02,1
35.556,1.52,-0.17413,99.95063,9.10E-02,1
35.606,1.53,-0.1794,99.9516,9.11E-02,1
35.636,1.54,-0.1807,99.95063,9.11E-02,1
35.685,1.55,-0.18862,99.95063,9.11E-02,1
35.727,1.56,-0.19257,99.94869,9.11E-02,1
35.783,1.57,-0.20446,99.94773,9.11E-02,1
35.823,1.58,-0.20707,99.94869,9.12E-02,1
35.861,1.59,-0.20571,99.94773,9.12E-02,1
35.917,1.6,-0.21096,99.94773,9.12E-02,1
35.963,1.61,-0.21887,99.94869,9.12E-02,1
36.02,1.62,-0.22145,99.94966,9.13E-02,1
36.066,1.63,-0.22538,99.94966,9.13E-02,1
36.118,1.64,-0.23592,99.9516,9.13E-02,1
36.172,1.65,-0.24778,99.95353,9.13E-02,1
36.225,1.66,-0.25567,99.9545,9.13E-02,1
36.279,1.67,-0.2503,99.95644,9.14E-02,1
36.333,1.68,-0.25685,99.95547,9.14E-02,1
36.383,1.69,-0.25943,99.9545,9.14E-02,1
36.437,1.7,-0.2673,99.9545,9.14E-02,1
36.504,1.71,-0.27251,99.9545,9.15E-02,1
36.558,1.72,-0.26978,99.95353,9.15E-02,1
36.62,1.73,-0.27763,99.95257,9.15E-02,1
36.676,1.74,-0.28548,99.9516,9.16E-02,1
36.731,1.75,-0.29597,99.94966,9.16E-02,1
36.788,1.76,-0.29721,99.94773,9.16E-02,1
36.848,1.77,-0.30504,99.94579,9.16E-02,1
36.905,1.78,-0.30892,99.94385,9.17E-02,1
