,char_GF_23_06_10.csv,char_GF_24_06_10.csv,char_GF_reground_25_10_10.csv,char_LF_24_06_10.csv,char_LF_24_06_10again.csv,char_LF_reground_22_10_10.csv,char_NF_23_06_10.csv,char_NF_24_06_10.csv,char_NF_reground_2_11_10.csv,char_GB_reground_1_11_10.csv,char_N2_reground_2_11_10.csv,char_GD_30_06_10.csv,char_GD_30_06_10_again.csv,char_QD_30_06_10.csv
Mass,10.100                          ,10.5,10.130                        ,9.780                           ,9.95,10.120                        ,10.33,9.83,9.98,10.460                        ,10.42,10.18,10.180                          ,9.270                           
% Ash,17.5738961896839,19.2653657903494,20.3779970715474,8.71868030000001,11.8229430833333,12.2851548580968,10.7271534333334,11.1272459833333,11.0428731218698,10.6256413567839,9.81499210702341,10.4046850251256,10.4046850251256,14.5419458487395
% Moisture,1.106875625,0.955024483805644,2.66087808489671,0.943501999999796,0.616224107142656,1.6052750000013,0.799295308255466,0.623406395348795,0.849322650142952,2.22373135864126,1.97602770038216,0.926172094861997,0.926172094861997,0.740792139303153
300,-0.00183544689810314,-0.00183691613070446,-0.00196245562764532,-0.000736672019066536,-0.00242370241338569,-0.0012136949399027,-0.00100701262587409,-0.000801122873521922,-0.00138508115353045,-0.000826984762367882,-0.00159638682086473,-0.00148137441000166,-0.00148137441000166,-0.0010443709891072
310,-0.00257785674604488,-0.00237863624269185,-0.00291082277320989,-0.000767013134325529,-0.00165223798839793,-0.00170179526068615,-0.00117309563392275,-0.000846831318686307,-0.00204906051077921,-0.00118331230818678,-0.00198940433728065,-0.0018172098919192,-0.0018172098919192,-0.00137813841546546
320,-0.00377970808444982,-0.00404492573098688,-0.00376753356303785,-0.00176794622657509,-0.00340955656168274,-0.00213969951519404,-0.0019174079033922,-0.00197949948801472,-0.00230098863016372,-0.00157345637162979,-0.00241405119750811,-0.00229391369313682,-0.00229391369313682,-0.00179832441857537
330,-0.00565252701945456,-0.00457157045338823,-0.00492230055974722,-0.00273313609185699,-0.00242949797238217,-0.00283775998451911,-0.00286360947192269,-0.00317168827775875,-0.00313465363832564,-0.00207251414888357,-0.00276689776039606,-0.003032573124216,-0.003032573124216,-0.00236684496873274
340,-0.00779699366440233,-0.00729518545582164,-0.00673752853155985,-0.00397485098398609,-0.00477760502612162,-0.00359832879308103,-0.00444144244290673,-0.00393777816747204,-0.00380832208598723,-0.00260721785527264,-0.00333356920766699,-0.00405177556304813,-0.00405177556304813,-0.00281767834783471
350,-0.00936726234024462,-0.00990930915004503,-0.00835532849230252,-0.00460871651052332,-0.00475161934596917,-0.00462536915516041,-0.00489257533565763,-0.00497499866238249,-0.00481099486588972,-0.00334923977947374,-0.00367781902692663,-0.00370101015272747,-0.00370101015272747,-0.00227522129690645
360,-0.0131178473713136,-0.0129779387849217,-0.0107800206271956,-0.00692865322310891,-0.0063744374148207,-0.00589183387729243,-0.00671686773788479,-0.00661126236737948,-0.00605173063758947,-0.00397264509110214,-0.00410893475806436,-0.00569955179367711,-0.00569955179367711,-0.00349337751361917
